topic,term,cosine,df,keep
Modern_Racism_Inequality,discriminatie,0.8607,80.0,True
Modern_Racism_Inequality,arbeidsmarktdiscriminatie,1.0,6.0,True
Modern_Racism_Inequality,stagediscriminatie,0.9276,9.0,True
Modern_Racism_Inequality,antidiscriminatie,0.9144,5.0,True
Modern_Racism_Inequality,racisme,0.7999,42.0,True
Modern_Racism_Inequality,uitsluiting,1.0,9.0,True
Modern_Racism_Inequality,vervreemding,0.7477,6.0,True
Modern_Racism_Inequality,gemarginaliseerde,0.6976,6.0,True
Modern_Racism_Inequality,kansenongelijkheid,1.0,5.0,True
Modern_Racism_Inequality,ongelijkheid,0.7572,15.0,True
Modern_Racism_Inequality,ongelijk,0.7124,8.0,True
Modern_Racism_Inequality,kansengelijkheid,0.7527,43.0,True
Modern_Racism_Inequality,achterstanden,0.7378,31.0,True
Modern_Racism_Inequality,achterstand,0.708,20.0,True
Modern_Racism_Inequality,onderwijsachterstanden,0.9501,6.0,True
Modern_Racism_Inequality,etnische,0.8191,5.0,True
Modern_Racism_Inequality,etnisch,0.7997,14.0,True
Modern_Racism_Inequality,migratieachtergrond,0.7587,19.0,True
Modern_Racism_Inequality,migratiebeleid,0.7202,14.0,True
Modern_Racism_Inequality,migratiesamenwerking,0.7,15.0,True
Modern_Racism_Inequality,suriname,0.7502,24.0,True
Modern_Racism_Inequality,surinaamse,0.7245,5.0,True
Modern_Racism_Inequality,syrische,0.7249,7.0,True
Modern_Racism_Inequality,chinese,0.7201,18.0,True
Modern_Racism_Inequality,indonesische,0.741,6.0,True
Modern_Racism_Inequality,arbeidsmarktpositie,0.7201,15.0,True
Modern_Racism_Inequality,arbeidsparticipatie,0.7245,31.0,True
Modern_Racism_Inequality,arbeidsongeschiktheid,0.7098,27.0,True
Modern_Racism_Inequality,arbeidsmigratie,0.7646,14.0,True
Modern_Racism_Inequality,lerarentekort,0.7838,15.0,True
Modern_Racism_Inequality,onderwijskwaliteit,0.7326,29.0,True
Modern_Racism_Inequality,onderwijstijd,0.7254,11.0,True
Modern_Racism_Inequality,onderwijsbijdrage,0.7114,10.0,True
Modern_Racism_Inequality,onderwijsprogramma,0.7072,6.0,True
Modern_Racism_Inequality,schoolkosten,0.6977,14.0,True
Modern_Racism_Inequality,extremisme,0.7726,23.0,True
Modern_Racism_Inequality,extreem,0.7497,7.0,True
Modern_Racism_Inequality,extreme,0.7514,26.0,True
Modern_Racism_Inequality,radicalisering,0.739,11.0,True
Modern_Racism_Inequality,contraterrorisme,0.8167,17.0,True
Modern_Racism_Inequality,polarisatie,0.7448,7.0,True
Modern_Racism_Inequality,diversiteit,0.752,69.0,True
Modern_Racism_Inequality,diversie,0.7267,6.0,True
Modern_Racism_Inequality,genderdiversiteit,0.7414,12.0,True
Modern_Racism_Inequality,emancipatie,0.7085,30.0,True
Modern_Racism_Inequality,emancipatiebeleid,0.7357,12.0,True
Modern_Racism_Inequality,onrecht,0.7022,34.0,True
Modern_Racism_Inequality,onrechte,0.6987,24.0,True
Modern_Racism_Inequality,rechtvaardigheid,0.7186,6.0,True
Modern_Racism_Inequality,herintegratie,0.7045,8.0,True
Modern_Racism_Inequality,cultuurparticipatie,0.7063,13.0,True
Modern_Racism_Inequality,onveiligheid,0.758,14.0,True
Modern_Racism_Inequality,intimidatie,,,True
Modern_Racism_Inequality,bejegening,0.7417,8.0,True
Modern_Racism_Inequality,jeugdcriminaliteit,0.6994,25.0,True
Modern_Racism_Inequality,criminaliteitspreventie,0.7088,6.0,True
Modern_Racism_Inequality,mensenhandel,,,True
Modern_Racism_Inequality,asielbeleid,0.7053,17.0,True
Modern_Racism_Inequality,remigratiewet,0.7029,5.0,True
Modern_Racism_Inequality,nadeel,0.7008,9.0,True
Modern_Racism_Inequality,problematisch,0.7102,8.0,True
Modern_Racism_Inequality,problematische,0.7538,12.0,True
Modern_Racism_Inequality,negatief,0.7551,52.0,True
Modern_Racism_Inequality,negatieve,0.7481,145.0,True
Modern_Racism_Inequality,slachtofferrechten,0.7123,5.0,True
Modern_Racism_Inequality,slachtofferbeleid,0.726,12.0,True
