text,label,label_id,is_pseudo
"Alle volkstalen zijn nadrukkelijk aanwezig, niet enkel in de 
oude orale overlevering maar ook in poëzie, volksliedjes, rijmpjes en in 
hedendaagse rap en spoken word. Op de Benedenwindse eilanden Aruba, Bonaire en Curaçao heeft het 
Papiamentu (Papiamento op Aruba) een sterke positie binnen alle gelede­
ren van de bevolking. Sinds het begin van de eenentwintigste eeuw is het 
ook een officiële taal die gebruikt kan worden binnen het rechtssysteem, 
de politiek en het onderwijs. Die officiële status was overigens de bekrach­
tiging van een al lang bestaande feitelijke situatie. Het Nederlands wordt 
nog wel frequent gebruikt – zeker ook in formele situaties – maar is 
­weinig populair. Het Spaans had vooral op Aruba al een tamelijk sterke",Colonialism,0,False
"Using Critical Race Theory 
to Respond to Everyday Racism. New York: Teachers College Press. Sue, D. W., Capodilupo, C. M., Torino, G. C., Bucceri, J. M., Holder, A. M. B., Nadal, K. L., & 
Esquilin, M.",Modern Racism & Inequality,2,False
"— 337 —
— VROEGE VORMING VAN SLAVERNIJ EN KOLONIALISME —
Die veronderstelling, dat het optreden van de Staten-Generaal vooral 
moet worden gezien in termen van de relatie tussen overheid en markt, is 
opmerkelijk gezien het politieke en militaire karakter van de steun die ze 
gaven aan de voc. De oprichting van de voc was namelijk in belangrijke 
mate ingegeven door militair-strategische motieven: het dwarsbomen van 
Spanje door het oorlogstoneel uit te breiden overzee. Om die reden belast­
ten de Staten-Generaal de voc bij de octrooiverlening uitdrukkelijk met 
de uitoefening van taken als oorlogvoering, het bouwen van forten en het 
voeren van diplomatieke onderhandelingen met overheden in Azië. Bovendien leverden de Staten-Generaal veelvuldig militaire steun aan 
de voc in de vorm van oorlogsschepen en materieel. Kortom, de Staten-­
Generaal gaven vorm aan de voc als overzeese extensie van de eigen soeve­
reiniteit, inclusief de daarbij behorende eigendomsrechten over veroverde 
gebieden en overwonnen volkeren. Door die soevereine rechten te delege­
ren aan de voc creëerden de Staten-Generaal de voorwaarde voor de recht­
vaardiging van slavernij in het voc-octrooigebied: binnen het geldende 
oorlogsrecht kon de overheid zich namelijk het recht toe-eigenen om 
­personen die in een rechtvaardige oorlog gevangengenomen werden tot 
slaaf te maken. Dat werd geëxpliciteerd in de instructie voor de gouver­
neur-generaal van de voc, in 1617 bekrachtigd door de Staten-Generaal, 
waarin voc-dienaren de opdracht kregen om krijgsgevangenen zonder 
onderscheid des persoons tot slaaf te maken en hen ‘zoo rigoreuselijk [te] 
tracteren als men best zal vinden’.4
Deze thematiek van oorlogvoering, en de daarmee juridisch en prak­
tisch verbonden praktijk van slavernij, paste klaarblijkelijk niet in het 
rond de millenniumwisseling dominante denkkader dat de relatie tussen 
de Staten-Generaal en de voc vooral bezag vanuit het perspectief van over­
heidssteun voor een handelsonderneming. Dat denkkader is sindsdien 
evenwel op losse schroeven komen te staan. Recenter historisch onderzoek 
benadrukt juist het gewelddadige karakter van het voc-imperium en de 
continue oorlogvoering overzee waarbij de Staten-Generaal betrokken 
waren. Tegelijkertijd is aangetoond dat de voc zich op grote schaal inliet 
met slavenhandel en gebruik maakte van slavenarbeid.",Colonialism,0,False
"— 283 —
— NEDERLANDSE KOLONIALE SLAVERNIJ WERELDWIJD —
landers behandeld worden. Het vastleggen van de rechten van de inheem­
se bevolking in 1644, juist voor het uitbreken van de Portugese opstand 
in 1645 die uiteindelijk een einde zou maken aan de Nederlandse kolonie, 
was van groot belang voor de steun die de wic in de laatste tien jaar van 
hen zou krijgen. De strijd tussen de Portugezen en de Nederlanders kreeg voor inheem­
se groepen het karakter van een burgeroorlog, waarbij sommigen de kant 
van de Nederlanders en sommigen de kant van de Portugezen kozen.6 Na 
het uiteindelijke verlies van Brazilië kwam een uittocht van voormalige 
bondgenoten naar het noordwesten op gang. Sommigen ontvluchtten 
Brazilië helemaal: onder de bewoners van de Zeeuwse kolonie op Tobago 
in de jaren 1660 staan ook enkele Brasilianen vermeld. ◼ ◼◼  Een slavensamenleving
Nederlands-Brazilië vormt het begin van de systematische Nederlandse 
betrokkenheid bij de handel in mensen, en de kolonie was de eerste 
slaven­samenleving onder Nederlandse vlag in het Atlantisch gebied. Een 
slavensamenleving is een samenleving waarin alle sociale en economische 
relaties worden bepaald door de aanwezigheid van slavernij. Sociale rela­
ties zoals die tussen man en vrouw, ouder en kind, werkgever en werkne­
mer, werden opgevat in termen van meester en slaafgemaakte. Vrije arbeid 
moest concurreren met slavernij en als vrije arbeid te duur was, zou het 
worden vervangen door onvrije arbeid. In het geval van de wic zien we 
­bijvoorbeeld dat de Compagnie bewust probeerde slaafgemaakten op te 
leiden als scheepsbouwers en affuitmakers en zo de specialistische, dure 
arbeid te vervangen. In de Nederlandse periode werden er ruim 31 000 mensen vanuit Afrika 
in slavernij naar Brazilië afgevoerd.",Colonialism,0,False
"RACISME BIJ HET MINISTERIE VAN BUITENLANDSE ZAKEN 
Een verkennend onderzoek 
 
50 
 
werken vanwege een dubbele nationaliteit en/of dubbel paspoort. Een enkeling toont 
hier wel begrip voor, maar verschillende respondenten merken op dat er met twee maten 
wordt gemeten aangezien allerlei andere collega’s met bepaalde Europese 
achtergronden niet tegen zulke belemmeringen aanlopen. Ook zijn er geen twijfels of 
medewerkers met een katholieke achtergrond in Rome kunnen werken, terwijl de 
islamitische achtergrond soms wel aanleiding geeft om medewerkers te wantrouwen. Een medewerker moest voor het verkrijgen van een bepaalde functie uitleggen of zij wel 
loyaal zou kunnen zijn aan het Nederlandse migratiebeleid. Deze vraag werd niet gesteld 
aan witte kandidaten. Een vermeend gebrek aan loyaliteit op basis van afkomst en kleur 
weegt volgens deze respondent mee in posities die worden verdeeld. Er wordt 
gesuggereerd dat bi-culturele medewerkers meer “aan de kant staan” van een ander 
land dan aan de kant van Nederland. Twijfels over neutraliteit  
Verschillende medewerkers ervaren het loyaliteitsdiscours als een vorm van wantrouwen. Ze worden niet gezien worden als “volwaardige Nederlanders”. Hierdoor speelt de 
gedachte vaak mee dat witte medewerkers veronderstellen dat hun bi-culturele collega’s 
een geheime agenda erop nahouden.",Modern Racism & Inequality,2,False
"270 
NANCY JOUWE
moeten meer mensen van doordrongen worden, dat racisme gewoon 
een probleem is. Op dat moment was ik campagneleider van de PvdA in 
Utrecht. Ik ging naar het bestuur en zei: we moeten met anderen hierover 
gaan praten. Zo is Utrecht Bekent Kleur begonnen, daar zaten politieke 
partĳen in, coc Midden Nederland, de protestantse kerk en ook Artikel 1 
Midden-Nederland. We gingen praten over Zwarte Piet en Pegida en 
hoe we dat gingen aanpakken. In 2017 werd ik uitgenodigd voor een 
vrĳheidsdiner en sprak daar met gemeenteraadslid Bouchra Dibi over 
de zwarte gemeenschap in Utrecht en over een monument voor slavernĳ. Maar alleen een monument is niet genoeg, daar moet wat omheen. Ik 
ging ook naar Keti Koti Amsterdam en toen dacht ik, hey, dit moeten 
we gewoon in Utrecht hebben. Ik schreef een plan en stuurde dat naar 
Bouchra Dibi. En zo kwam ik in gesprek met wethouder Diepenveen, en 
ik heb toen ook met de toenmalige directeur van het ninsee gesproken, 
Antoin Deul.",Modern Racism & Inequality,2,False
"253, p. 927 
100 De Nederlandsche Staats-Courant 1861-1862 (bijblad). Tweede Kamer, 76ste zitting – 2 julij 1862, vel. 253, p. 928 
101 De Nederlandsche Staats-Courant 1861-1862 (bijblad). Tweede Kamer, 76ste zitting – 2 julij 1862, vel. 253, p. 928",Colonialism,0,False
"— 200 —
— STAAT EN SLAVERNIJ —
bundel Slavernij herbezien. Visuele bronnen over slavernij in de Indonesische 
archipel en de Indische Oceaan. Als we afbeeldingen kritisch en met speciale aandacht voor sociale machts­
verhoudingen, sociale verschillen en beelvorming bekijken, geven zij de 
voorzichtige mogelijkheid de aanwezigheid en het karakter van slavernij in zowel 
het Atlantisch gebied als in Azië in kaart te brengen. Maar ze leggen vooral, als 
representaties van slaafgemaakten en slavernij, de historische wortels bloot van 
de tot op de dag van vandaag doorwerkende, Nederlandse beeldvorming en het 
denken over slavernij. Voor onderzoek daarnaar zouden afbeeldingen dus niet 
alleen op hun visuele aspecten moeten worden beoordeeld, maar ook op sociale 
aspecten en effecten: waarom werd een afbeelding gemaakt? Voor wie? En 
hoe werd een illustratie in de loop van de tijd verspreid en van betekenissen 
voorzien? Zo constateerde Kolfin bijvoorbeeld al in 1997 dat seksualiteit en 
slavernij veelvuldig samengaan in afbeeldingen, maar diepgravend onderzoek 
naar de verbeelding en functie daarvan heeft nog niet plaatsgevonden. Meer 
traditioneel kunsthistorisch onderzoek, met aandacht voor kunststijlen, 
stromingen en artistieke ontwikkelingen in een bredere internationale context, 
kan mogelijkerwijs inzichten opleveren. Kortom, door met een kritische blik te 
kijken naar afbeeldingen van slaafgemaakten en hun sociale omstandigheden 
kan de verbeelding van slavernij ons een schat aan belangrijke nieuwe 
informatie bieden.",Historical Slavery,1,False
"De foto, in een serie getiteld ‘Surinamers’, ontroert mĳ.1 De manier 
waarop ze daar staat, vol bravoure. Wie is deze vrouw die dit statement 
maakte in de jaren zestig? Ik moet lachen om haar pose, haar vrĳmoedig-
heid en lef. Ik ga op zoek naar meer foto’s van Rudolphine. Dan kom ik de naam 
Helder tegen. Het blĳkt de broer van mĳn opa te zĳn die in Leiden 
rechten en pedagogiek studeerde: André Helder. Op de foto musiceert 
hĳ samen met Rudolphine. Naast Rudolphine staat een lachende Ronald 
Venetiaan die gitaar speelt. Wat zullen zĳ allemaal meegemaakt hebben op de verschillende 
kennisinstituten in Nederland, in een tĳd waarin woorden als diversiteit 
en inclusie niet bestonden in het institutionele bewustzĳn? Mĳn oudoom was een volle neef van de uitgesproken vakbondslei-
der Jopie Pengel, die Suriname vanaf 1963 leidde als premier.",Modern Racism & Inequality,2,False
"Afstand
Een van de manieren waarop er een 
negatief beeld van niet-Europeanen 
geschapen kon worden, was afstand. Het ging over mensen die ver weg 
woonden en onbekend waren. In Europa 
deden machthebbers bewust hun best 
om dit zo te houden. Zo kregen witte 
koopmannen die getrouwd waren met 
een Afrikaanse of Aziatische vrouw vaak 
geen toestemming om zich in Nederland 
te vestigen. De rassenleer van vader en 
zoon Vrolik
Een destijds bekende Amsterdamse 
rassendenker was Gerardus Vrolik 
(1775-1837), directeur van de 
Hortus Botanicus en de eerste 
hoogleraar verloskunde in 
Nederland. Samen met zijn zoon 
Willem Vrolik (1801- 1863) 
verzamelde hij menselijke resten en 
zocht daarin naar vermeende 
rassenverschillen. Het was in die tijd gebruikelijk
om niet alle mensen als gelijken te 
zien. Uit het bekijken en groeperen 
van schedels en bekkenbotten 
verzonnen vader en zoon Vrolik een 
complete hiërarchie op basis van 
ras, waarin zij erop los fantaseerden 
over karaktertrekken, de mate van 
intelligentie, beschaving, ijver, 
charme, volgzaamheid, wildheid 
en verfijning van de ‘volkeren’. Zo construeerden zij een raciale 
en racistische hiërarchie, telkens 
met de witte Europeaan bovenaan, 
en de zwarte Afrikaan onderaan. Deze beeldvorming bleef ook 
in stand na het verbod op de 
slavenhandel en de slavernij.",Modern Racism & Inequality,2,False
