filename,chunk_id,sentence_count,raw_text,text_for_scoring,cos_Colonialism,cos_Historical_Slavery,cos_Modern_Racism_Inequality,max_score,primary_topic,score_margin,confidence_level
Policyarchive_text\ambtsberichten\2023\bijlage-1-tekst-en-toelichting-nieuwe-ambtseed\bijlage-1-tekst-en-toelichting-nieuwe-ambtseed.2.txt,5d14f375:00000,10,"2 
 
eerlijke manier is gebeurd. Vanuit historisch perspectief is de gedachte hierachter dat de ambtenaar 
zijn ambt niet mag uitoefenen als hij niet op een eerlijke manier aan het ambt is gekomen. Logischerwijs volgt daarna de eed van trouw, die vooruitblikt op de toekomstige functievervulling. In de nieuwe ambtseed zijn deze twee traditionele onderdelen van de tekst duidelijker van elkaar 
gescheiden en vervolgens nader ingevuld. Zuiveringseed 
In het eerste deel ofwel de zuiveringseed dat terugblikt, zweert of verklaart de ambtenaar over wat 
in het verleden heeft plaatsgevonden (“ik zweer/verklaar dat ik dit ambt op een eerlijke manier heb 
gekregen”). Hier is gekozen voor het woord “ambt” in plaats van “functie” om het bijzondere karakter van het 
ambtenaarschap te benadrukken. Sinds de invoering van de Wet normalisering rechtspositie 
ambtenaren (Wnra) hebben rijksambtenaren geen eenzijdige aanstelling meer, maar een 
tweezijdige arbeidsovereenkomst met de Staat der Nederlanden. Het woord “aanstelling” is daarom 
niet meer van toepassing. De ambtenaar verklaart uitdrukkelijk voor het ambt te hebben gekozen (“Ik heb voor dit ambt 
gekozen”) en dit niet door omkoop te hebben gekregen. Niet passief (“ik ben niet omgekocht”) en 
niet actief (“ik heb ook niemand omgekocht”).",eerlijke manier gebeurd vanuit historisch perspectief gedachte hierachter ambtenaar ambt mag uitoefenen eerlijke manier ambt gekomen logischerwijs volgt daarna eed trouw vooruitblikt toekomstige functievervulling nieuwe ambtseed twee traditionele onderdelen tekst duidelijker elkaar gescheiden vervolgens nader ingevuld zuiveringseed eerste deel ofwel zuiveringseed terugblikt zweert verklaart ambtenaar verleden plaatsgevonden zweer verklaar ambt eerlijke manier gekregen gekozen woord ambt plaats functie bijzondere karakter ambtenaarschap benadrukken invoering wet normalisering rechtspositie ambtenaren wnra rijksambtenaren eenzijdige aanstelling tweezijdige arbeidsovereenkomst staat nederlanden woord aanstelling daarom toepassing ambtenaar verklaart uitdrukkelijk ambt gekozen ambt gekozen omkoop gekregen passief omgekocht actief niemand omgekocht,0.47512639539065205,0.30695429129871865,0.40552455880112015,0.47512639539065205,Colonialism,0.0696018365895319,low
Policyarchive_text\ambtsberichten\2023\bijlage-1-tekst-en-toelichting-nieuwe-ambtseed\bijlage-1-tekst-en-toelichting-nieuwe-ambtseed.2.txt,5d14f375:00001,10,"Omkoping kan in vele vormen plaatsvinden, maar 
komt erop neer dat de omgekochte iets krijgt of in de toekomst wordt beloofd (“niet met giften en 
niet met beloftes”). Overigens kan ook op andere manieren sprake zijn van omkoping of 
ondermijning, bijvoorbeeld door druk of dreiging vanuit het criminele milieu. Door te verklaren dat 
voor het ambt is gekozen, maakt de nieuwe ambtenaar een krachtig en positief statement het ambt 
uit vrije wil en volle overtuiging te hebben aanvaard. Daarnaast verklaart de ambtenaar bij zijn indiensttreding eerlijke informatie te hebben gegeven voor 
zover die relevant is of kan zijn voor het werk als rijksambtenaar (“ik heb eerlijke informatie 
gegeven en heb niets verzwegen wat voor dit ambt van belang kan zijn”). Hiermee wordt bedoeld 
dat de gegeven informatie op zichzelf juist en volledig is én dat er geen relevante informatie 
ontbreekt. Denk hierbij aan gevolgde opleidingen, behaalde diploma’s, eerdere werkervaring, 
eventuele nevenwerkzaamheden en dergelijke. Maar ook het eerlijk antwoord geven op vragen die 
bij indiensttreding door de werkgever zijn gesteld en die voor het ambt relevant zijn. Eed van trouw 
In het tweede deel ofwel “de eed van trouw” zweert of belooft de ambtenaar over wat er in de 
toekomstige functievervulling als rijksambtenaar zal plaatsvinden. Dit deel heeft als vertrekpunt dat 
de ambtenaar zich bewust is van zijn (toekomstige) publieke taak, zijn dienstbaarheid aan Nederland 
en de samenleving en de verantwoordelijkheid die daarbij hoort (“ik zweer/beloof de Koning en de 
Grondwet trouw te zijn en Nederland als goed ambtenaar te dienen”). Rijksambtenaren zijn in dienst van de Staat der Nederlanden en werken voor Nederland.",omkoping vele vormen plaatsvinden komt erop neer omgekochte krijgt toekomst beloofd giften beloftes overigens manieren sprake omkoping ondermijning bijvoorbeeld druk dreiging vanuit criminele milieu verklaren ambt gekozen maakt nieuwe ambtenaar krachtig positief statement ambt vrije volle overtuiging aanvaard daarnaast verklaart ambtenaar indiensttreding eerlijke informatie gegeven zover relevant werk rijksambtenaar eerlijke informatie gegeven verzwegen ambt belang hiermee bedoeld gegeven informatie zichzelf juist volledig én relevante informatie ontbreekt denk hierbij gevolgde opleidingen behaalde diploma eerdere werkervaring eventuele nevenwerkzaamheden dergelijke eerlijk antwoord geven vragen indiensttreding werkgever gesteld ambt relevant eed trouw tweede deel ofwel eed trouw zweert belooft ambtenaar toekomstige functievervulling rijksambtenaar plaatsvinden deel vertrekpunt ambtenaar bewust toekomstige publieke taak dienstbaarheid nederland samenleving verantwoordelijkheid daarbij hoort zweer beloof koning grondwet trouw nederland goed ambtenaar dienen rijksambtenaren dienst staat nederlanden werken nederland,0.44948023316882507,0.3168565885402197,0.3930152238417366,0.44948023316882507,Colonialism,0.05646500932708848,low
Policyarchive_text\ambtsberichten\2023\bijlage-1-tekst-en-toelichting-nieuwe-ambtseed\bijlage-1-tekst-en-toelichting-nieuwe-ambtseed.3.txt,724b1dfb:00002,10,"Dit neemt niet weg dat ook andere 
ambtelijke waarden van belang zijn voor het werk. De ambtenaar werkt in het algemeen belang en zet zich naar eer en geweten in voor onze 
samenleving als geheel. (“ik werk in het algemeen belang voor onze samenleving en zet mij daar 
volledig voor in”). De ambtenaar dient primair het algemeen belang. Er is gekozen voor het begrip 
algemeen belang omdat dit toegankelijker is dan de (nog abstractere) begrippen publiek belang, 
publieke zaak of publieke taak, waarvan de precieze betekenis niet altijd helder is. Ook het begrip 
algemeen belang vergt nadere uitleg. Als ambtenaar kijk je neutraal naar het overkoepelende belang 
en de effecten voor de samenleving op langere termijn. Dit kunnen zowel effecten nationaal als 
internationaal zijn. De ambtenaar maakt onafhankelijk en onpartijdig een zorgvuldige afweging 
tussen deelbelangen. De ambtenaar laat zich niet leiden door persoonlijke voorkeuren of eigen 
belang, het belang van familie of vrienden of het belang van andere personen waar die een niet 
werkgerelateerde (afhankelijkheids)relatie mee heeft.",neemt weg ambtelijke waarden belang werk ambtenaar werkt algemeen belang zet eer geweten onze samenleving geheel werk algemeen belang onze samenleving zet volledig ambtenaar dient primair algemeen belang gekozen begrip algemeen belang toegankelijker abstractere begrippen publiek belang publieke zaak publieke taak waarvan precieze betekenis helder begrip algemeen belang vergt nadere uitleg ambtenaar kijk neutraal overkoepelende belang effecten samenleving langere termijn zowel effecten nationaal internationaal ambtenaar maakt onafhankelijk onpartijdig zorgvuldige afweging deelbelangen ambtenaar laat leiden persoonlijke voorkeuren eigen belang belang familie vrienden belang personen waar werkgerelateerde afhankelijkheids relatie mee,0.4705403653766553,0.28795515430181234,0.4953383588136082,0.4953383588136082,Modern_Racism_Inequality,0.024797993436952936,low
Policyarchive_text\beleidsnotas\2023\beslisnota-bij-antwoorden-op-kamervragen-over-presentatie-eilandsraadslid-de-heer-koos-sneek\beslisnota-bij-antwoorden-op-kamervragen-over-presentatie-eilandsraadslid-de-heer-koos-sneek.1.txt,daaaa9d7:00000,10,"Aan 
Staatssecretaris Koninkrijksrelaties 
Van 
DGKR 
 
TER BESLUITVORMING  
Nota actief openbaar 
Ja 
Onze referentie 
2023-0000121406 
Datum 
3 maart 2023 
Opgesteld door 
,  
 
 
Samengewerkt met 
SZW, DEF 
Bijlage(n) 
3 
Pagina 1 van 1 
 
Beantwoording vragen PvdD-fractie van de Eerste Kamer 
n.a.v. presentatie eilandsraadslid Sneek 
Aanleiding 
Op 7 en 8 december 2022 vond het InterExpo-congres1 plaats in Nieuwspoort, 
Den Haag. Tijdens die bijeenkomst heeft onder meer gesproken dhr. Koos Sneek, 
lid van de Eilandsraad van Sint Eustatius. De leden van de Partij voor de Dieren-
fractie hebben zijn presentatie, getiteld “Gelijkwaardigheid binnen Nederland”, 
aan de orde gesteld in de vaste commissie voor Koninkrijksrelaties (KOREL) van 
de Eerste Kamer, teneinde hierover aan u enkele vragen te kunnen stellen. Geadviseerd besluit 
U wordt geadviseerd om:  
• 
In te stemmen met de beantwoording van de Kamervragen. • 
De Kamerbrief te ondertekenen voor verzending aan de Eerste Kamer. Kern 
• 
Vragen 4 en 5 gaan over armoedebestrijding en de mogelijke gevolgen 
van het verhogen van het minimumloon voor het bedrijfsleven op Sint 
Eustatius. De beantwoording van deze vragen is afgestemd met het 
ministerie van Sociale Zaken en Werkgelegenheid. • 
Vraag 6 gaat over reisbewegingen binnen Caribisch Nederland.",staatssecretaris koninkrijksrelaties dgkr ter besluitvorming nota actief openbaar onze referentie datum maart opgesteld samengewerkt szw def n pagina beantwoording vragen pvdd fractie eerste kamer n v presentatie eilandsraadslid sneek aanleiding december vond interexpo congres1 plaats nieuwspoort den haag bijeenkomst gesproken dhr koos sneek lid eilandsraad sint eustatius leden partij dieren fractie presentatie getiteld gelijkwaardigheid nederland orde gesteld vaste commissie koninkrijksrelaties korel eerste kamer teneinde hierover enkele vragen stellen geadviseerd besluit geadviseerd stemmen beantwoording kamervragen kamerbrief ondertekenen verzending eerste kamer kern vragen gaan armoedebestrijding mogelijke gevolgen verhogen minimumloon bedrijfsleven sint eustatius beantwoording vragen afgestemd ministerie sociale zaken werkgelegenheid vraag gaat reisbewegingen caribisch nederland,0.4643429917107201,0.27459578995654677,0.39254438676779824,0.4643429917107201,Colonialism,0.07179860494292184,low
Policyarchive_text\beleidsnotas\2023\beslisnota-bij-antwoorden-op-kamervragen-over-presentatie-eilandsraadslid-de-heer-koos-sneek\beslisnota-bij-antwoorden-op-kamervragen-over-presentatie-eilandsraadslid-de-heer-koos-sneek.1.txt,daaaa9d7:00001,7,"De 
beantwoording van deze vraag is afgestemd met de Koninklijke 
Marechaussee van het ministerie van Defensie. Bijlagen 
 
Volgnummer 
Naam 
Informatie 
1 
Brief beantwoording Kamervragen 
Ter ondertekening  
2 
Bijlage 1. Kamervragen 
Ter info, niet naar EK 
3 
Bijlage 2. Presentatie dhr. Sneek 
Ter info, niet naar EK 
 
 
1 InterExpo Caribbean B.V. organiseert al 20 jaar congressen en handelsmissies met als 
focus de bevordering van het zakenverkeer tussen Nederland, Curaçao, Aruba, Bonaire, Sint 
Maarten, Saba en Sint Eustatius. Het congres op 7 en 8 december 2022 was het 32e 
congres, met als titel: “Gelijkwaardigheid in het Koninkrijk der Nederland”.",beantwoording vraag afgestemd koninklijke marechaussee ministerie defensie volgnummer naam informatie brief beantwoording kamervragen ter ondertekening kamervragen ter info ek presentatie dhr sneek ter info ek interexpo caribbean b v organiseert congressen handelsmissies focus bevordering zakenverkeer nederland curaçao aruba bonaire sint maarten saba sint eustatius congres december 32e congres titel gelijkwaardigheid koninkrijk nederland,0.48452208081443393,0.324167948707086,0.3922301096888473,0.48452208081443393,Colonialism,0.09229197112558662,low
Policyarchive_text\beleidsnotas\2023\beslisnota-bij-kamerbrief-beleidsreactie-op-beleidsdoorlichting-erfgoed\beslisnota-bij-kamerbrief-beleidsreactie-op-beleidsdoorlichting-erfgoed.1.txt,05c47aa7:00000,10,"TER ONDERTEKENING
Aan: SCM
Aanbieding beleidsreactie op beleidsdoorlichting Erfgoed
Aanleiding
Hierbij ontvangt u de beleidsreactie op de beleidsdoorlichting Erfgoed. Vanwege
de inhoudelijke samenhang is het van belang dat u de beleidsreactie tegelijk met
de verkenning financiering monumentenzorg aan zowel de Eerste als Tweede
Kamer aanbiedt. De brieven moeten uiterlijk 9 juni worden verzonden om
geagendeerd te kunnen worden voor het commissiedebat over Erfgoed op 21 juni. Geadviseerd besluit
Akkoord op verzending van bijgaande brief tegelijk met de verkenning van de
financiering monumentenzorg aan de Eerste en Tweede Kamer. Kernpunten
·       De beleidsreactie reageert op de beleidsdoorlichting Erfgoed: een
geïntegreerd rapport bestaande uit de beleidsdoorlichting Erfgoed, de
doorlichting van de Erfgoedwet en de Erfgoedbalans. Ter voorbereiding op
de beleidsreactie is met diverse veldpartijen gesproken. Zie bijgevoegde
brieven. ·       Per thema geeft u aan wat het rapport hierover zegt, wat u hier al op doet
en wat u (naar aanleiding van het rapport en de gesprekken met het veld)
hierop verder gaat doen. U kondigt de volgende acties aan:
·       Erfgoedwet: de Kamer in 2024 een overzicht van wenselijke wijzigingen
aan te bieden. ·       Doelmatigheid en doeltreffendheid: in toekomstige beleidsbrieven de
‘beleidstheorie’ (waarom denken we dat iets gaat werken) uitgebreider te
beschrijven.",ter ondertekening scm aanbieding beleidsreactie beleidsdoorlichting erfgoed aanleiding hierbij ontvangt beleidsreactie beleidsdoorlichting erfgoed vanwege inhoudelijke samenhang belang beleidsreactie tegelijk verkenning financiering monumentenzorg zowel eerste tweede kamer aanbiedt brieven moeten uiterlijk juni verzonden geagendeerd commissiedebat erfgoed juni geadviseerd besluit akkoord verzending bijgaande brief tegelijk verkenning financiering monumentenzorg eerste tweede kamer kernpunten beleidsreactie reageert beleidsdoorlichting erfgoed geïntegreerd rapport bestaande beleidsdoorlichting erfgoed doorlichting erfgoedwet erfgoedbalans ter voorbereiding beleidsreactie diverse veldpartijen gesproken zie bijgevoegde brieven per thema geeft rapport hierover zegt aanleiding rapport gesprekken veld hierop verder gaat kondigt volgende acties erfgoedwet kamer overzicht wenselijke wijzigingen bieden doelmatigheid doeltreffendheid toekomstige beleidsbrieven beleidstheorie waarom denken gaat werken uitgebreider beschrijven,0.45253812642044405,0.26917863338123044,0.3548215489806858,0.45253812642044405,Colonialism,0.09771657743975826,low
Policyarchive_text\beleidsnotas\2023\beslisnota-bij-kamerbrief-beleidsreactie-op-beleidsdoorlichting-erfgoed\beslisnota-bij-kamerbrief-beleidsreactie-op-beleidsdoorlichting-erfgoed.1.txt,05c47aa7:00001,6,"·       Ten aanzien van het versterken van de capaciteit en deskundigheid op het
terrein van erfgoed bij gemeenten kondigt u aan dat er in iedere provincie
bijeenkomsten komen om te inventariseren hoe gemeenten het beste
geholpen kunnen worden. Ook komt er een commissie die richtinggevende
ambitiescenario’s gaat ontwikkelen. Deze aanpak is erfgoed breed (dus
archeologie, gebouwd en groen, landschap en leefomgeving). ·       Aanpak beleidsdoorlichting: in gesprek te gaan met het veld om te komen
tot een verbeterde aanpak voor de volgende beleidsdoorlichting erfgoed. ·       Gebouwd en groen erfgoed:
o   Samen met de partners te verkennen hoe we de meest bijzondere
kerkelijke en niet-kerkelijke interieurs kunnen behouden
o   Samen met de ministeries van EZK en BZK te bezien of en op
welke wijze de Investeringssubsidie Duurzame Energie en
Pagina 1 van 2
Erfgoed en Kunsten
Van
 
 
T  
 
Datum
19 mei 2023
Referentie
38529833
Bijlagen
1. Beleidsreactie op
beleidsdoorlichting Erfgoed
Intern OCW afgestemd
MenC, RCE, FEZ, WJZ, IOE
Interdepartmentaal
afgestemd
BZK, EZK, FIN
Persoonsgegeven
Persoonsgegeven
Persoo...",ten aanzien versterken capaciteit deskundigheid terrein erfgoed gemeenten kondigt iedere provincie bijeenkomsten komen inventariseren gemeenten beste geholpen komt commissie richtinggevende ambitiescenario gaat ontwikkelen aanpak erfgoed breed archeologie gebouwd groen landschap leefomgeving aanpak beleidsdoorlichting gesprek gaan veld komen verbeterde aanpak volgende beleidsdoorlichting erfgoed gebouwd groen erfgoed samen partners verkennen meest bijzondere kerkelijke kerkelijke interieurs behouden samen ministeries ezk bzk bezien wijze investeringssubsidie duurzame energie pagina erfgoed kunsten datum mei referentie beleidsreactie beleidsdoorlichting erfgoed intern ocw afgestemd menc rce fez wjz ioe interdepartmentaal afgestemd bzk ezk fin persoonsgegeven persoonsgegeven persoo,0.47813231932697803,0.2427370440411249,0.3414004909319986,0.47813231932697803,Colonialism,0.13673182839497944,low
Policyarchive_text\beleidsnotas\2023\beslisnota-bij-kamerbrief-beleidsreactie-op-beleidsdoorlichting-erfgoed\beslisnota-bij-kamerbrief-beleidsreactie-op-beleidsdoorlichting-erfgoed.2.txt,29dc54e5:00000,10,"Energiebesparing (ISDE) en de Subsidieregeling Verduurzaming
voor Verenigingen van Eigenaars (SVVE) zo kunnen worden
aangepast dat deze toegankelijker worden voor huiseigenaren van
monumenten om te verduurzamen. ·       Erfgoed en leefomgeving:
o   De bestuurlijke afspraken voor de wederopbouwgebieden te
evalueren, in relatie tot de bescherming van beschermde stads-
en dorpsgezichten en waardevolle Post65 gebieden. o   De komende 10 jaar alleen in te zetten op
werelderfgoednominaties in het Caribisch deel van het Koninkrijk:
Plantages West Curaçao en Marine Park Bonaire en Curaçao. o   Het Netherlands Fund in Trust bij het Werelderfgoedcentrum van
UNESCO in Parijs voort te zetten voor de periode 2023-2026. ·       Archeologie:
o   In gesprek met bedrijven en overheden te gaan over in situ
behoud en te onderzoeken of aanvullende regelgeving
noodzakelijk is. o   De RCE te vragen om te verkennen op welke wijze gelijkvormige
eisen aan deponering kunnen worden bevorderd. o   De inspectie te vragen om nader onderzoek te doen naar
metaaldetectie. ·       Roerend erfgoed:
o   In samenspraak met de sector een nieuwe beleidslijn op het
gebied van mobiel erfgoed op te stellen, waarin de
duurzaamheidsopgave en de vraag in hoeverre er een passender
beschermingsbeleid moet komen, worden betrokken. Toelichting
Verder willen we u nog op het volgende wijzen. Uit de besluitenlijst van de
procedurevergadering van de vaste commissie voor Onderwijs, Cultuur en
Wetenschap van donderdag 19 januari 2023 bleek dat de Kamercommissie nadere
informatie wilde afwachten alvorens zij de beleidsreactie op het advies van de
Commissie Collectie Nederland wilde agenderen.",energiebesparing isde subsidieregeling verduurzaming verenigingen eigenaars svve aangepast toegankelijker huiseigenaren monumenten verduurzamen erfgoed leefomgeving bestuurlijke afspraken wederopbouwgebieden evalueren relatie bescherming beschermde stads dorpsgezichten waardevolle post65 gebieden komende alleen zetten werelderfgoednominaties caribisch deel koninkrijk plantages west curaçao marine park bonaire curaçao netherlands fund trust werelderfgoedcentrum unesco parijs voort zetten periode archeologie gesprek bedrijven overheden gaan situ behoud onderzoeken aanvullende regelgeving noodzakelijk rce vragen verkennen wijze gelijkvormige eisen deponering bevorderd inspectie vragen nader onderzoek metaaldetectie roerend erfgoed samenspraak sector nieuwe beleidslijn gebied mobiel erfgoed stellen waarin duurzaamheidsopgave vraag hoeverre passender beschermingsbeleid komen betrokken toelichting verder willen volgende wijzen besluitenlijst procedurevergadering vaste commissie onderwijs cultuur wetenschap donderdag januari bleek kamercommissie nadere informatie wilde afwachten alvorens beleidsreactie advies commissie collectie nederland wilde agenderen,0.44002416152679424,0.23284063000997854,0.26542279544272385,0.44002416152679424,Colonialism,0.1746013660840704,low
Policyarchive_text\beleidsnotas\2023\beslisnota-bij-kamerbrief-jaarplan-2023-kw-carib\beslisnota-bij-kamerbrief-jaarplan-2023-kw-carib.1.txt,685b7117:00000,10,"Pagina 1 van 2 
 
 
 
 
 
Aanleiding 
De behandeling van het Jaarplan 2023 Kustwacht voor het Koninkrijk der Nederlanden in het 
Caribisch gebied staat geagendeerd voor de Rijksministerraad van 23 december 2022. Bij 
aanvaarding zal het document nadien worden verzonden aan de Kamer. Geadviseerd besluit 
U wordt gevraagd akkoord te gaan met het aanbieden van het Jaarplan 2023 Kustwacht voor het 
Koninkrijk der Nederlanden in het Caribisch gebied, de begeleidende Kamerbrief, en het 
aanbiedingsformulier aan de RMR. Kernpunten 
In 2023 geeft de Kustwacht gestalte aan het in 2021 ingezette reorganisatietraject, met het Lange 
Termijn Plan-Personeel als uitgangspunt voor personele groei van de organisatie. Dit vindt plaats in 
het kader van de uitvoering van maatregel H11, gericht op versterking van het grenstoezicht, dat 
voortvloeit uit de in 2020 overeengekomen Landspakketten. Binnen deze intensivering is de inzet 
van de Kustwacht erop gericht om gradueel te groeien naar 24/7 inzetbaarheid en om 
multidisciplinaire samenwerking te bewerkstelligen met de KMar, Douane Nederland en de 
landsdiensten, met als doel een verbeterde grip op de lucht- en maritieme grens. Toelichting 
Financiële overwegingen 
HDFC en IRF zijn akkoord met voorliggende documentatie. Juridische overwegingen 
De vervaardiging van een jaarplan is een verplichting uit de Rijkswet Kustwacht. Communicatie 
DCo bereidt een kort nieuwsbericht voor dat via de RVD na afloop van de RMR wordt verspreid. Tevens wordt het nieuwsbericht op Defensie.nl geplaatst.",pagina aanleiding behandeling jaarplan kustwacht koninkrijk nederlanden caribisch gebied staat geagendeerd rijksministerraad december aanvaarding document nadien verzonden kamer geadviseerd besluit gevraagd akkoord gaan aanbieden jaarplan kustwacht koninkrijk nederlanden caribisch gebied begeleidende kamerbrief aanbiedingsformulier rmr kernpunten geeft kustwacht gestalte ingezette reorganisatietraject lange termijn plan personeel uitgangspunt personele groei organisatie vindt plaats kader uitvoering maatregel h11 gericht versterking grenstoezicht voortvloeit overeengekomen landspakketten intensivering inzet kustwacht erop gericht gradueel groeien inzetbaarheid multidisciplinaire samenwerking bewerkstelligen kmar douane nederland landsdiensten doel verbeterde grip lucht maritieme grens toelichting financiële overwegingen hdfc irf akkoord voorliggende documentatie juridische overwegingen vervaardiging jaarplan verplichting rijkswet kustwacht communicatie dco bereidt kort nieuwsbericht via rvd afloop rmr verspreid tevens nieuwsbericht defensie nl geplaatst,0.46973302307451287,0.2501426524069581,0.3033956982767061,0.46973302307451287,Colonialism,0.16633732479780677,low
Policyarchive_text\beleidsnotas\2023\beslisnota-bij-kamerbrief-jaarplan-2023-kw-carib\beslisnota-bij-kamerbrief-jaarplan-2023-kw-carib.1.txt,685b7117:00001,8,"Overige subkopjes (optioneel) 
Het Presidium van de Kustwachtcommissie is belast met de afstemming op hoofdlijnen van het 
beleid, het beheer en de middelen van de Kustwacht. De Kustwachtcommissie bereidt op basis 
daarvan het beleidsplan, het operationeel jaarplan, de begroting, het jaarverslag en de jaarlijkse 
financiële verantwoording van de Kustwacht voor. Zij betrekt hierbij alle bij de Kustwacht betrokken 
ministeries van de vier landen. Het Jaarplan 2023 is in oktober (in presidiumverband) en in november 2022 (staffing) in goed 
interdepartementaal overleg en overleg met de Landen tot stand gekomen. Het Presidium heeft het 
Jaarplan reeds goedgekeurd. Behandeling in het ambtelijk voorportaal (ACKR) op 29 november as. zal naar verwachting geen problemen opleveren. TER BESLISSING 
 
Aan 
MINDEF 
Van 
DGB 
Afgestemd met 
DJZ, CDS, HDFC 
In afschrift aan 
STAS 
Nota
 
Datum 
29 november 2022 
Onze referentie 
BS2022029787 
Opgesteld door 
 
 
 
 
@mindef.nl 
Aantal bijlagen 
3",overige subkopjes optioneel presidium kustwachtcommissie belast afstemming hoofdlijnen beleid beheer middelen kustwacht kustwachtcommissie bereidt basis daarvan beleidsplan operationeel jaarplan begroting jaarverslag jaarlijkse financiële verantwoording kustwacht betrekt hierbij kustwacht betrokken ministeries vier landen jaarplan oktober presidiumverband november staffing goed interdepartementaal overleg overleg landen stand gekomen presidium jaarplan goedgekeurd behandeling ambtelijk voorportaal ackr november verwachting problemen opleveren ter beslissing mindef dgb afgestemd djz cds hdfc afschrift stas nota datum november onze referentie bs2022029787 opgesteld mindef nl aantal,0.4659946891690379,0.2382154126566736,0.2687952872512915,0.4659946891690379,Colonialism,0.19719940191774643,low
