topic,term,cosine,df,keep
Modern racism& inequality,racisme,1.0,448,True
Modern racism& inequality,discriminatie,1.0,211,True
Modern racism& inequality,ongelijkheid,1.0,44,True
Modern racism& inequality,huisvesting,1.0,7,True
Modern racism& inequality,arbeidsmarkt,1.0,31,True
Modern racism& inequality,segregatie,1.0,12,True
Modern racism& inequality,discrimination,0.9832,5,True
Modern racism& inequality,discrimineren,0.9333,9,True
Modern racism& inequality,racistische,0.9234,54,True
Modern racism& inequality,racistisch,0.921,34,True
Modern racism& inequality,discriminerend,0.8909,10,True
Modern racism& inequality,discriminerende,0.87,6,True
Modern racism& inequality,antidiscriminatie,0.869,6,True
Modern racism& inequality,gediscrimineerd,0.8524,8,True
Modern racism& inequality,antiracisme,0.833,11,True
Modern racism& inequality,raciale,0.8328,26,True
Modern racism& inequality,racism,0.8113,17,True
Modern racism& inequality,verblijf,0.7869,6,True
Modern racism& inequality,woningen,0.784,8,True
Modern racism& inequality,raciaal,0.7771,9,True
Modern racism& inequality,ongelijkheden,0.7718,7,True
Modern racism& inequality,wonen,0.7584,43,True
Modern racism& inequality,ongelijke,0.7471,26,True
Modern racism& inequality,verblijven,0.7447,5,True
Modern racism& inequality,arbeids,0.7309,8,True
Modern racism& inequality,discriminatietoets,0.7127,52,True
Modern racism& inequality,antidiscriminatievoorzieningen,0.7094,7,True
Modern racism& inequality,buitenhuizen,0.7092,7,True
Modern racism& inequality,agressie,0.7087,12,True
Modern racism& inequality,huizen,0.7031,21,True
Modern racism& inequality,huishouden,0.69,17,True
Modern racism& inequality,etnisch,0.6835,30,True
Modern racism& inequality,arbeidskrachten,0.6783,7,True
Modern racism& inequality,generaties,0.6639,35,True
Modern racism& inequality,gelijkheid,0.6543,26,True
Modern racism& inequality,arbeiden,0.647,14,True
Modern racism& inequality,compagnie,0.6453,127,True
Modern racism& inequality,verzameling,0.6392,8,True
Modern racism& inequality,markt,0.6358,21,True
Modern racism& inequality,etnische,0.6133,75,True
Modern racism& inequality,buitenhuis,0.6123,6,True
Modern racism& inequality,menselijkheid,0.6108,47,True
Modern racism& inequality,sector,0.6106,27,True
Modern racism& inequality,huis,0.6041,81,True
Modern racism& inequality,menschelijkheid,0.6026,5,True
Modern racism& inequality,georganiseerde,0.5997,6,True
Modern racism& inequality,gebouwen,0.5974,13,True
Modern racism& inequality,nederzetting,0.5971,8,True
Modern racism& inequality,verbieden,0.5958,6,True
Modern racism& inequality,meerderheid,0.5945,47,True
Modern racism& inequality,arbeider,0.5941,5,True
Modern racism& inequality,georganiseerd,0.5928,46,True
Modern racism& inequality,fascisme,0.5922,6,True
Modern racism& inequality,verbouwen,0.5898,18,True
Modern racism& inequality,kolonisatie,0.586,23,True
Modern racism& inequality,vertegenwoordiging,0.5855,9,True
Modern racism& inequality,culturele,0.5855,165,True
Modern racism& inequality,verspreiding,0.5854,6,True
Modern racism& inequality,heritage,0.5833,18,True
Modern racism& inequality,exploitatie,0.5826,19,True
Modern racism& inequality,mogendheid,0.5823,8,True
Modern racism& inequality,nationalistische,0.5789,6,True
Modern racism& inequality,verspreiden,0.5777,10,True
Modern racism& inequality,afschaffing,0.5738,265,True
Modern racism& inequality,bouwen,0.5732,33,True
Modern racism& inequality,afwezigheid,0.5727,10,True
Modern racism& inequality,gemeenschappen,0.5726,66,True
Modern racism& inequality,werkgelegenheid,0.5695,13,True
Modern racism& inequality,overnamen,0.5694,5,True
Modern racism& inequality,woonden,0.5683,43,True
Modern racism& inequality,huren,0.5677,6,True
Modern racism& inequality,contractarbeiders,0.5671,13,True
Modern racism& inequality,werkgroep,0.5666,12,True
Modern racism& inequality,thuis,0.5664,27,True
Modern racism& inequality,woonde,0.5661,40,True
Modern racism& inequality,werkgevers,0.5642,8,True
Modern racism& inequality,samenstelling,0.5626,12,True
Modern racism& inequality,inwoners,0.5619,54,True
Modern racism& inequality,vereenigen,0.5616,13,True
Modern racism& inequality,industrie,0.5612,18,True
Modern racism& inequality,verdeling,0.5601,6,True
Modern racism& inequality,verspreid,0.5576,6,True
Modern racism& inequality,koningshuis,0.5572,8,True
Modern racism& inequality,bouwde,0.5567,8,True
Modern racism& inequality,huishoudens,0.5564,12,True
Modern racism& inequality,armoede,0.5558,21,True
Modern racism& inequality,opbouwen,0.5555,7,True
Modern racism& inequality,arbeiders,0.5555,61,True
Modern racism& inequality,overname,0.5551,5,True
Modern racism& inequality,omgekeerd,0.5547,7,True
Modern racism& inequality,woningmarkt,0.5546,8,True
Modern racism& inequality,inventarisatie,0.5538,6,True
Modern racism& inequality,oprichting,0.553,58,True
Modern racism& inequality,reproduceren,0.5527,5,True
Modern racism& inequality,onmacht,0.5522,5,True
Modern racism& inequality,billijkheid,0.552,6,True
