text,label,label_id
"— 100 —
— STAAT EN SLAVERNIJ —
overgang naar nieuwe termen die zich richten op het claimen van rechten 
ook in Nederland zichtbaarder werd in de publieke ruimte. Daarnaast werd de focus op een ander soort narratief gelegd. In de 
woorden van cultureel antropoloog Francio Guadeloupe: in plaats van 
trauma, slachtofferschap en slavernij (het ‘cultureel traumanarratief’) 
wordt – zoals in het Caribisch gebied al gebruikelijk was – de strijd voor 
vrijheid en gelijkheid en tegen een systeem van onderdrukking centraal 
gesteld.12 
 
◼◼ ◼◼  Erkenning slavernijverleden: het familieperspectief 
In de afgelopen decennia hebben belangenorganisaties en activisten opge­
roepen om meer plek te maken voor dialoog rondom het slavernijverleden 
en te streven naar gelijkwaardig burgerschap. De persoonlijke ervaringen 
van zwarte mensen in Nederland zijn de leidraad geweest in de oproep tot 
deze manieren van transformative justice. Om het belang hiervan beter te 
begrijpen is het belangrijk om stil te staan bij de ervaringen van nazaten 
in Nederland: wat leeft er binnen families zelf? Wat speelt er privé en 
wordt niet publiek gemaakt? Links een sjabloon 
‘Zwarte Piet is 
Racisme’, gemaakt 
door Quincy Gario. Rechts een foto van 
het protest ‘Zwarte 
Piet is Zwart Verdriet’ 
in de Bijlmer, 
Amsterdam eind 
jaren negentig.",Modern Racism & Inequality,2
"Ook dankbaar­
heid tegenover de voorouders en trots op hun verzet zijn dominante the­
ma’s (‘Ik ben trots op de vechtersmentaliteit van mijn voorouders en ben 
dankbaar dat ik daar in het heden ook nog kracht uit kan halen’). Het 
blijkt dat naast aandacht voor het slavernijverleden in het publieke debat 
ook generationele en geografische afstand nodig waren om over de pijnlij­
ke aspecten van familiegeschiedenissen te kunnen praten. De kaders die het publieke erkenningsdebat over het slavernijverleden 
domineren zijn te simplistisch. Persoonlijke ervaringen als de geciteerde 
laten zien hoe verleden en heden aan elkaar gekoppeld zijn en dat het 
­slavernijverleden niet de stem van zwart tegen wit, slachtoffers tegen 
daders, minderheid tegenover meerderheid, diaspora tegenover overheid 
is. Persoonlijke ervaringen zijn veel ingewikkelder, net zoals postkoloniale 
gemeenschappen hybride zijn, veelvormig verstrengeld met de Neder­
landse samenleving. In de woorden van Urwin Vyent, directeur van het 
NiNsee: ‘We beseffen onvoldoende hoe het slavernijverleden nog altijd 
doorwerkt in de hedendaagse samenleving, bij wit en zwart en in hun",Modern Racism & Inequality,2
"— 103 —
— ACTUELE VRAAGSTUKKEN —
onderlinge relatie. Maar ook in relatie tussen zwart en zwart.’14 De per­
soonlijke familie-ervaringen laten zien dat de term ‘herstel’ breder moet 
worden opgevat: het gaat niet alleen om herstelbetalingen vanwege leed 
in het verleden, maar ook om herstel van sociale relaties in het heden en de 
dialoog tussen en binnen de gemeenschappen. De persoonlijke perspectie­
ven breken het denken in essentialismen en tegenstellingen open, die 
publieke en academische debatten rondom de ‘politiek van erkenning’ 
juist zo domineren. ◼◼ ◼◼  Reacties op de excuses vanuit de gemeenschappen
De persoonlijke verhalen maken duidelijk dat de discussie over erkenning 
niet alleen over de excuses, maar ook over de erkenning van de scheefheid 
van het economische en sociale systeem moet gaan. Een economisch sys­
teem dat is ontstaan ten tijde van de slavernij en nog steeds doorwerkt; 
ook al gaat het nu over andere grondstoffen. Waar Nederland tijdens de 
slavernij profiteerde van suiker uit Suriname, profiteert Nederland tegen­
woordig van het goud dat daar onder gelijksoortige condities geprodu­
ceerd wordt. Zo kwam in een interview naar voren: ‘Je moet geen excuses 
aanvoeren. Je moet ervoor gaan zorgen dat wij [in Suriname] ook een nor­
male levensstandaard kunnen krijgen, ooit. Je [Nederland] probeert ieder­
een van je af te stoten: Curaçao, Aruba, Sint-Maarten; en bepaalt dat zij 
geen geld krijgen. Want zij hebben geen macht.",Modern Racism & Inequality,2
"Het geld is bij jou. Maar 
waar komt het geld in eerste instantie vandaan?’15 
Bewustwording en verandering van dit economische systeem wordt als 
een manier gezien om de excuses in de praktijk te brengen, anders is het 
slechts een loos gebaar. Daarbij is het belangrijk dat de excuses worden 
gemaakt door de partijen, bijvoorbeeld organisaties en bedrijven, die 
toen de grootste winsten hebben gehaald. Het gaat niet om individuele 
burgers: verantwoordelijkheid moet gedragen worden door degenen die 
structureel verantwoordelijk waren voor slavernij. Herstelbetalingen 
­worden niet gezien als geld dat van de ene naar de andere partij gaat, 
maar als een manier om de economie in Suriname en op de Antillen op te 
bouwen, die door de Nederlandse kolonisator slecht was achtergelaten: 
een vorm van structureel rechtsherstel. Belangrijk is dan ook dat Surina­
me en de Antillen zelf bepalen waar het geld precies aan moet worden 
besteed, en niet de voormalige kolonisator.",Historical Slavery,1
"— 104 —
— STAAT EN SLAVERNIJ —
De gevoeligheid met betrekking tot het paternalistische optreden van 
Nederlandse overheidsinstanties is niet alleen terug te zien in de weer­
stand en frustratie van de regeringen van sommige van de Caribische 
eilanden en van Suriname in de aanloop naar de excuses van het Kabinet-­
Rutte iv op 19 december 2022, maar ook onder diverse Surinaamse 
en Antilliaanse organisaties in Nederland zelf. Deze weerstand was er 
ook eerder bij de diverse stadsdialogen – lang voor de excuses van 
19 december 2022 – die in Rotterdam en in andere steden waren gevoerd, 
waar opvattingen te horen waren als: ‘Dit is al de zoveelste keer dat mijn 
[Surinaams-Antilliaanse] gemeenschap niet wordt vertegenwoordigd!’16 
Er heerst het gevoel dat de gemeenschappen zelf te weinig betrokken 
­worden bij het debat. De stadsdialogen voelden voor velen vooral als een 
symbolisch participatief proces dat uiterst selectief was en waar telkens 
dezelfde personen hun stem konden laten horen, die dan vervolgens 
meestal niet werd meegewogen in de besluitvorming. ◼◼ ◼◼  Tot slot
Terwijl binnen activistische kringen en in de gemeenschappen zelf een 
breed gesprek over reparation wordt gevoerd, blijft het Nederlandse poli­
tieke en publieke debat over het onderwerp nog steeds beperkt van aard 
en te veel gericht op symbolische aspecten, zoals excuses, 1 juli als feestdag 
en de komst van een nationaal slavernijmuseum. Nog steeds gaat de aan­
dacht veel minder uit naar bijvoorbeeld maatregelen en middelen om mis­
representatie, discriminatie en racisme op institutioneel niveau tegen te 
gaan. Dat de excuses van De Nederlandsche Bank op 1 juli 2022 voor de 
eigen verantwoordelijkheid in het verleden vergezeld werden door struc­
turele actiepunten in het heden was een veelbelovende stap, net als de aan­
kondiging van de regering dat er een Koninkrijk Fonds van tweehonderd 
miljoen euro komt in de hoop dat een veranderd bewustzijn nieuwe 
­praktijken creëert. In de gemeenschappen zelf zien wij een duidelijke verbeelding van 
waar ­herstel eigenlijk over gaat. In plaats van een nauw ‘slachtoffer-dader’- 
of ‘schuld-en-verwijt’-kader, dat in het publiek debat wordt geassocieerd 
met herstelbetalingen, ligt de nadruk meer op het gezamenlijk proces, en 
het besef dat de sociale en relationele component wezenlijk is voor herstel. Je zou kunnen zeggen dat de in het publiek gangbare term herstelbetalingen 
en het in de gemeenschappen verbrede idee van rechtsherstel of sociaal 
­herstel zelfs haaks op elkaar staan. De één redeneert vanuit schade, de",Modern Racism & Inequality,2
"— 107 —
ook worden gebruikt om te weten te komen hoe en waarom mensen, door over 
het verleden te spreken, inhoud trachten te geven aan hun plaats in het heden. De aandacht voor de bronnen manifesteert zich ook in het actief creëren van 
verzamelingen van orale bronnen, door ze op te slaan in databanken en 
archiefinstellingen. In Nederland zijn er bijvoorbeeld verschillende archieven 
waarin herinneringen van personen over het koloniale verleden zijn vastgelegd 
op geluids- en beeldmateriaal (zie: Oral History van Data Archiving and 
Networked Services). Een bekend voorbeeld is het archief van de Stichting 
Mondelinge Geschiedenis Indonesië, dat samenvattingen van 1190 interview­
sessies met 724 mensen bevat die informatie geven over de periode 1940-1962 
van de Nederland­se koloniale aanwezigheid in Azië. Op Curaçao hebben de 
volkenkundigen Paul Brenneker en Elis Juliana vanaf 1958 een grote hoeveelheid 
mondelinge infor­matie verzameld. De meeste van de door hen verzamelde 
informatie is opgesla­gen in de Zikinzá-collectie, een databank bestaande uit 
1400 liederen, verhalen en levensverhalen. Bij de Sint-Eustatius Historical Foun­
dation zijn de stemmen van afstammelingen van de slaafgemaakten bewaard 
gebleven, nadat die in de jaren zeventig waren verzameld door de Amerikaanse 
journalist Vivian Graham. Journalist en auteur Boi Antoin heeft de afgelopen 
jaren op Bonaire een uitgebreide collectie van onder andere videobanden en 
audiotapes verzameld, die gedigitaliseerd en ontsloten zijn in het archief Archivo 
Boneiru. Het Instituut voor Beeld en Geluid heeft een deel van deze collectie in 
haar catalogus opgenomen. In Suriname heeft het Amazon Conservation Team, 
in samen­werking met lokale bevolkingen, door middel van orale geschiedenis, 
interactieve kaarten, oude foto’s en archiefstukken, de historie van de marron­
gemeenschap Matawai vastgelegd.",Colonialism,0
"Het opslaan en digitaal ontsluiten van oraal materiaal stelt deze bronnen veilig 
voor nader onderzoek, herinterpretatie en analyse. Deze bronnen worden 
verifieerbaar voor onderzoekers en kunnen ook in het onderwijs worden 
gebruikt. Ondanks de toenemende belangstelling voor orale geschiedenis om 
de Neder­land­se koloniale geschiedenis bloot te leggen, is er heel veel materiaal 
dat voor onderzoekers en het bredere publiek nog niet toegankelijk is. Rose Mary Allen (1950) is cultureel antropoloog. Ze is buitengewoon 
hoogleraar Cultuur, gemeenschap en geschiedenis aan de Universiteit 
van Curaçao.",Modern Racism & Inequality,2
"— 11 —
Rose Mary Allen, Esther Captain,  
Matthias van Rossum en Urwin Vyent
	
	
Het koloniale  
	
slavernijverleden en  
	
doorwerkingen: 
	
	
inleiding
Glimmend van trots liet premier Rutte de Amerikaanse president Barack 
Obama, die in 2014 een bezoek aan Nederland bracht, het Plakkaat van 
Verlatinghe zien. Normaal wordt dat zorgvuldig bewaard in het 
­Nationaal Archief in Den Haag, maar voor deze bijzondere gelegenheid 
lag het document voor Obama klaar op een kussentje in de pronkzaal van 
het Rijksmuseum. Hoewel het er volgens een journalist op televisie ‘niet 
erg aantrekkelijk uitzag’, is het van onschatbare waarde voor Nederland. Het Plakkaat van Verlatinghe is de officiële verklaring van een aantal 
Nederlandse provincies waarin zij in 1581 de Spaanse koning Filips ii 
afzetten als hun heerser en kan als zodanig worden beschouwd als de 
Nederlandse onafhankelijkheidsverklaring. Twee eeuwen later gold het 
document als inspiratiebron voor de Amerikaanse onafhankelijkheids­
verklaring van 1776. Dat is de reden waarom het bij het bezoek van de 
Amerikaanse wereldleider zo prominent werd getoond. Waarschijnlijk is tussen Rutte en Obama niet ter sprake gekomen dat 
het Plakkaat van Verlatinghe een paradox behelst die tot de dag van van­
daag doorwerkt. De Republiek der Verenigde Nederlanden ontstond zoals 
gezegd uit verzet tegen politieke overheersing door een vreemde 
mogendheid, die door tijdgenoten, en ook in het Plakkaat, met ‘slavernij’ 
werd vergeleken. Na de onafhankelijkheidsverklaring groeide Nederland 
echter zelf uit tot een van de grootste koloniale machten. Zo werd een 
land dat zichzelf als vrijhaven bleef zien tegelijkertijd een land dat 
wereldwijd slavernij en andere koloniale machtsmiddelen exploiteerde.",Colonialism,0
"De industrie gaf een enorme impuls 
aan de economie, bracht werkgelegenheid voor velen en trok een stroom 
migranten naar die eilanden. Maar die ongekende economische groei was 
niet voldoende om diepgewortelde raciale barrières te doorbreken. De olie­
maatschappij heeft een stevig fundament in het koloniale verleden. Het in 
1890 opgerichte bedrijf Koninklijke Olie in Nederlands-Indië, later Shell, 
kon in de kolonie bouwen aan de basis voor haar imperium, met gunstige 
voorwaarden voor zichzelf en ongunstige werkomstandigheden voor 
de Chinese en Javaanse contractarbeiders – in die tijd geringschattend 
­‘koelies’genoemd. In Suriname werd in de periode van het staatstoezicht gezocht naar 
nieuwe wegen om de plantages draaiende te houden met behulp van goed­
kope arbeid. Arbeiders kwamen eerst in relatief kleine aantallen uit Madei­
ra, China en de Cariben, maar vanaf 1873 werden zij massaal in Azië 
geworven. Meer dan 34 000 Brits-Indiërs en bijna 33 000 Javanen maakten 
als contractarbeiders de overtocht naar Suriname om daar onder moeilijke 
omstandigheden op de suikerplantages te werken. Iedereen die contract­
breuk pleegde werd strafrechtelijk vervolgd, zoals was vastgelegd in het 
poenale sanctiebeleid.7 Volgend op het slavernijsysteem ontstond zo een 
nieuwe vorm van onvrije arbeid, die tot de Tweede Wereldoorlog bleef 
bestaan. De migratie van contractarbeiders uit Nederlands-Indië naar 
­Suriname laat zien dat het moeilijk was om aan het koloniale regime te 
­ontsnappen.",Historical Slavery,1
"— 118 —
— STAAT EN SLAVERNIJ —
Geleidelijk aan verlieten de vrijgemaakten de plantages. Hun plaatsen 
werden ingenomen door contractarbeiders. Een bestaan opbouwen in een 
land waar grootschalige landbouw met behulp van goedkope contract­
arbeid de standaard was, was niet eenvoudig. De winning van goud en 
rubber in het binnenland van Suriname, de nieuwe frontier-gebieden 
(gebieden die de grens met het ontgonnen land markeerden) boden 
­kansen. Sommigen traden in dienst van de koloniale overheid. Er is nog veel onbekend over de kansen op de vrije arbeidsmarkt in de 
decennia na de afschaffing van de slavernij. Ontstonden er vormen van 
solidariteit of werden er juist nieuwe barrières opgeworpen tussen de 
­verschillende groepen vrije arbeiders? ◼◼ ◼◼  Schipperen tussen verandering en behoud
De afschaffing van de slavernij en daarmee de introductie of het voortbe­
staan van contractarbeid en onvrije arbeid vergden aanpassingen in de 
organisatie van bestuur en ordehandhaving. In symbolische zin speelde 
het koningshuis een rol in het vormen en hervormen van de koloniale 
staat. In Suriname en op de eilanden werd koning Willem iii gepresen­
teerd als degene die het initiatief had genomen tot de afschaffing van de 
slavernij, terwijl hij in feite alleen het besluit daartoe had ondertekend.",Historical Slavery,1
