text,label,label_id,is_pseudo
"46
Bijlage 2 | Toelichting bij de 
methodologische aanpak: 
observaties van het  
doorlichtingsproces
Inleiding
Hoe wordt de Discriminatietoets door de betrokken pilotorganisaties in 
de praktijk gebracht? Wat kunnen we daarvan leren over zelfonderzoek 
naar discriminatie en racisme binnen de publieke dienstverlening? En wat 
betekent dit voor de doorontwikkeling van de Discriminatietoets? Vanuit 
deze onderzoeksvragen observeerden twee onderzoekers de projectteams 
van de drie pilotorganisaties in de periode dat zij de Discriminatietoets als 
pilot toepasten. Het doel hierbij was om inzicht te ontwikkelen over het 
doorlichtingsproces van binnenuit. In deze bijlage wordt deze methodologi-
sche aanpak van participatieve observatie nader toegelicht. Participatieve observaties
Participatieve observatie houdt in dat onderzoekers zich verdiepen en 
‘ingebed’ raken in een werkpraktijk, organisatie, cultuur of groep56. Voor 
de observaties van het doorlichtingsproces betekende dit dat de onder-
zoekers aansloten bij de activiteiten van de projectteams: enerzijds de 
bijeenkomsten binnen de organisatie rondom de Discriminatietoets en 
anderzijds bijeenkomsten van de klankbordgroep waaraan zij deelnamen. Bij enkele bijeenkomsten sloten de onderzoekers digitaal aan via een 
videoverbinding. De meeste observaties, waaronder de klankbordgroep- 
bijeenkomsten, vonden plaats op een fysieke locatie: op locatie van de 
pilotorganisaties, of in het geval van de klankbordgroepen op een centrale 
evenementlocatie.",Modern Racism & Inequality,2,False
"Er waren niet veel 
ambachtslieden in de stad, die bevonden zich eerder op de plantages 
onder de slaafgemaakten. Daar werkten ze voor de plantage-eigenaar. Met de toename van het aantal vrije kleurlingen nam het aantal ambachts­
lieden (zoals schoenmakers, bakkers en timmerlieden) toe. De vrijverklaar­
den boden hun diensten aan stadsbewoners aan of teelden op kleine 
gronden gewassen om in hun behoefte te voorzien. Huisbedienden en 
ambachtslieden die geen verplichting hadden tot contractarbeid tijdens 
het staatstoezicht trokken naar Paramaribo om er te werken, hun diensten 
aan te bieden of hun waar te verkopen. Paramaribo telde rond de afschaf­
fing van de slavernij ongeveer 20 000 inwoners, vandaag de dag zijn dat",Historical Slavery,1,False
"Basis voor racisme
Dit soort ideeën hebben een effect gehad 
op de vorming van racistische denkbeelden 
van nu. De elite van toen legde de basis 
voor vormen van institutioneel racisme, 
die tot op de dag van vandaag zijn blijven 
bestaan. De term institutioneel racisme 
verwijst naar het systematisch uitsluiten, 
marginaliseren en discrimineren van 
bevolkingsgroepen op basis van hun ‘ras’ 
of etniciteit. Dit gebeurt met officiële 
regels, maar ook met ongeschreven of 
informele regels. Je vindt dit ook nog terug in onze taal. Het woord ‘denigreren’ betekent 
minachten, kleineren of zwartmaken. Het komt van het Latijnse woord 
denigrare, dat een afleiding is van niger: 
donker, zwart of ‘neger’. •
Meer lezen
Uit De slavernij in Oost en West, het 
Amsterdam onderzoek (2020, SPECTRUM):
•	 Pepijn Brandon, Burgemeesters, 
belangen en staatsmacht. •	 Michel Doortmont, Jacob de 
Petersen, slavenhandelaar op West-
Afrika en Amsterdams bestuurder. •	 Wim Klooster, Amsterdam, de WIC 
en het Groot Desseyn.",Modern Racism & Inequality,2,False
"Er waren 
geen slavenregisters voor de verspreide Nederlandse forten en posten aan de 
kust van West-Afrika. De ontmenselijking die typerend is voor slavernij is duidelijk te zien in de 
registers. Mensen werden in eerste plaats beschreven als ‘bezit’ van anderen. In het algemeen bevatte elk slavenregister de naam van de slaafgemaakte, 
de naam van de eigenaar en informatie over geboorte, overlijden, verkoop en 
eventuele vrijlating of ontsnapping. Hoe die informatie werd georganiseerd 
verschilde per register. Over het algemeen werd ook het geslacht, de leeftijd of",Historical Slavery,1,False
"De beweging begon in 2013 als reactie op de vrijspraak van George Zimmerman, 
de moordenaar van de zwarte 17-jarige Trayvon Martin. Black Lives Matter staat bekend om het verzet 
tegen alle vormen van geweld tegen Zwarte mensen zoals etnisch profileren, politiegeweld en over 
bestraffing in het rechtssysteem. Black Lives Matter is een ideologische en politieke interventie in een 
wereld waar Zwarte levens systematisch en opzettelijk het doelwit zijn van haat, geweld en vernieti-
ging. Het is een bevestiging van de menselijkheid van Zwarte mensen, de bijdragen van Zwarte men-
sen aan onze samenleving, en de veerkracht van Zwarte mensen die standaard leven in een systeem 
van onderdrukking. BIOLOGISCH RACISME 
De eerste vormen van racisme waarin er op basis van pseudo-wetenschappelijke argumenten werd 
gesteld dat bepaalde ‘rassen’ genetisch ofwel van nature minderwaardig waren. Bijvoorbeeld: het 
promoten van het idee dat intelligentie voorbehouden is aan bepaalde ‘rassen’. Witte mensen werden 
als de hoogste biologische en evolutionaire vorm van de mens aangemerkt, daarna Arabieren, Ja-
panners en Chinezen. Op de laagste trede bevonden zich inheemse volken en Zwarte mensen omdat 
zij dichter bij de apen zouden staan en daardoor minder intelligent zouden zijn.",Modern Racism & Inequality,2,False
"Daarop wordt in § 3.4 ingegaan. 3.3  
Stap 2: excuses 
  
Noodzaak 
Voorgaande eerste inventarisatie leidt al snel tot de vraag of een enkele erkenning van de 
slavenhandel en slavernij tussen begin 17e eeuw en 1863 als misdrijven tegen de 
menselijkheid iets toevoegt of oplost. Een erkenning die zich beperkt tot het plakken van 
een algemeen etiket van strafbaarheid op slavenhandel en slavernij die zich meer dan 150 
jaar geleden hebben afgespeeld, is in de kern een abstracte en vrijblijvende uitspraak. Dit 
doet de vraag rijzen welk doel met een erkenningswet moet worden beoogd. Wanneer het doel is om morele verantwoordelijkheid te nemen, zou naar onze mening aan 
de objectieve erkenning een subjectieve dimensie moeten worden toegevoegd. Dit kan door 
niet uitsluitend een objectieve strafrechtelijke kwalificatie aan slavenhandel en slavernij te 
geven maar tevens het subjectieve leed te erkennen dat als gevolg van de als zodanig 
geïdentificeerde misdrijven tegen de menselijkheid is ontstaan en daarvoor excuses aan te 
bieden. Eerder hebben wij opgemerkt dat het maken van excuses in Nederland geen onbekend 
fenomeen is, integendeel. Gezien het gemak waarmee in de Nederlandse politiek excuses 
worden gemaakt is er geen overtuigende reden om uitgerekend het slavernijverleden van 
excuses uit te zonderen. Het Nederlandse slavernijverleden legt een grote druk op onze 
samenleving. Er is sprake geweest van een ruim 250-jarige periode waarin zeer grote 
aantallen mensen onder meer vanwege enkel hun herkomst, etniciteit en huidskleur 
uitzonderlijk onrecht werd aangedaan.",Historical Slavery,1,False
"RACISME BIJ HET MINISTERIE VAN BUITENLANDSE ZAKEN 
Een verkennend onderzoek 
 
9 
 
culturele en lokaal aangenomen medewerkers. Maar ook bijvoorbeeld door masterclasses 
met aandacht voor de betekenis en impact van racisme en hoe zowel slachtoffers als 
omstanders kunnen reageren op racisme. Hoewel er al getraind wordt, zijn daar volgens medewerkers nog wel verschillende 
verbeteringen in door te voeren. Zo benadrukken sommige respondenten dat het 
belangrijk is dat trainingen niet beperkt blijven tot enkele bijeenkomsten, omdat de 
opgedane inzichten anders onvoldoende toegepast worden in de praktijk en er zo geen 
effectief verandertraject ingezet kan worden. De trainingen moeten dus een prominente 
en structurele plek krijgen in het opleidingsaanbod. Respondenten vinden daarnaast dat 
het bestaande aanbod nog te vrijblijvend is. Mede hierdoor nemen medewerkers die juist 
een grote rol zouden kunnen spelen in het bestrijden van racisme niet deel. Het is daarom 
nodig dat de trainingen een meer verplichtend karakter krijgen. 4. Investeer in het professionaliseren van meldingsstructuren 
In het onderzoek zijn in de meldingsprocedures verschillende knelpunten gevonden die 
een belangrijke verklaring bieden waarom medewerkers niet of nauwelijks bereid zijn om 
ervaringen van racisme te delen bij vertrouwenspersonen, integriteitscoördinatoren, 
medewerkers van personeelszaken en van de inspectie.",Modern Racism & Inequality,2,False
"— 146 —
— STAAT EN SLAVERNIJ —
Sulu-sultanaat, gevestigd ten noorden van Kalimantan (Borneo). De zee­
rovers kaapten alle schepen die in hun vaarwater kwamen, ook die onder 
Europese vlag, en overvielen hele dorpen. Bij hun gewelddadige roof­
tochten kwamen jaarlijks vijftienhonderd tot tweeduizend mensen om 
en werden zo’n drie- tot vierduizend slaafgemaakten uit de Indonesische 
archipel weggevoerd.1 Overvallen vonden zelfs plaats op de kust van Java, 
het best verdedigde eiland in de regio, waar het koloniale bestuur zetelde. De bestrijding van zeeroverij genoot daarom hoge prioriteit voor de 
Nederlands-Indische regering. Ondanks hun politieke en economische rivaliteit werkten de Britten en 
Nederlanders steeds meer samen om de maritieme slavenjacht in de Zuid­
oost-Aziatische wateren aan te pakken. Aanvankelijk wisten zij weinig te 
beginnen tegen de snelle piratenschepen, maar dat veranderde toen hun 
beider koloniale marines stoomschepen inzetten. Niettemin bleef de zee­
roverij tot het einde van de negentiende eeuw een serieuze bedreiging 
voor de scheepvaart en visserij. Naast deze actieve bestrijding van de zee­
roverij ging het koloniale bestuur van Nederlands-Indië in 1820 over tot de 
aanleg van een slavenregister om zo de aanvoer van slaafgemaakten naar 
de koloniale gebieden te stoppen. Iedere niet-geregistreerde slaafgemaak­
te was automatisch vrij voor de wet en nieuwe slaafgemaakten mochten 
niet verhandeld worden. Door vrijlating en sterfte moest de omvang van 
de slavernij zo gaandeweg afnemen.",Historical Slavery,1,False
"14. A.N. Paasman, Elisabeth Maria Post (1755-1812). Een bio-bibliografisch on-
derzoek. Amsterdamse smaldelen 2 (Amsterdam: Thespa, 1974), 52; A.N. Paasman, ‘Reinhart, of literatuur en werkelĳkheid’, Documentatieblad 
werkgroep achttiende eeuw 41-42 (1979), 40-61. 15. Markus Vink, ‘“The World’s Oldest Trade”: Dutch Slavery and Slave Tra-
de in the Indian Ocean in the Seventeenth Century’, Journal of World 
History 14, 2 (2003), 131-177; Remco Raben, ‘Cities and the Slave Trade in 
Early-Modern Southeast Asia’, in: Peter Boomgaard, Dick Kooiman en 
Henk Schulte Nordholt (red.), Linking Destinies. Trade, Towns and Kin 
in Asian History (Leiden: kitlv Press, 2008), 119-140; Rik van Welie, ‘Pat-
terns of Slave Trading and Slavery in the Dutch Colonial World’, in: Gert 
Oostindie (red.), Dutch Colonialism, Migration and Cultural Heritage 
(Leiden: kitlv Press, 2008), 155-259; Matthias van Rossum, Kleurrĳke 
tragiek. De geschiedenis van slavernĳ in Azië onder de voc (Hilversum: 
Verloren, 2015); Reggie Baay, Daar werd wat gruwelĳks verricht.",Colonialism,0,False
"Daarnaast was hĳ actief als verze-
keraar.18 Vrĳ snel na zĳn komst zĳn ook andere joden naar Maarssen 
getrokken. Zĳ wilden hier de zĳde-industrie voortzetten en plaatsten 
een zĳdemolen die aan 25 mensen werk verschafte. Het bedrĳf was zo 
succesvol dat de Utrechtse vroedschap vreesde voor haar eigen zĳde-
industrie. In 1654 riep zĳ de eigenaars van de zĳdemolen op om deze 
af te breken. Het is onduidelĳk of dit ook daadwerkelĳk is gebeurd.19 
Wel trokken later nog meer joodse families naar Maarssen, waar ze 
buitenhuizen kochten om hun zomers door te brengen. Van zeker 24",Historical Slavery,1,False
