text,label,label_id,is_pseudo
"Slavenopstanden 
na aankomst
Zowel in Azië als in het Atlantisch gebied 
probeerden slaafgemaakten ruimte te 
vinden om zoveel mogelijk hun eigen 
leven te leiden, zelfs onder de continue 
dreiging van geweld van hun ‘meesters’. Ze streden voor behoud van de eigen 
gebruiken en eetgewoonten, religie, 
muziek en verhalen die ze meenamen 
vanuit Afrika naar de Amerika’s of op hun 
gedwongen transport over de Indische 
Oceaan. De Nederlandse slaveneigenaren 
waren doodsbang voor dit soort uitingen 
van onafhankelijkheid en vaardigden 
strenge regels uit om de bewegings­
vrijheid en zelfstandige ontwikkeling 
van slaaf­gemaakten in te perken. 74
De plantage Palmeneribo in 
Suriname. De Amsterdamse 
bestuurder Jonas Witsen was net  
de nieuwe eigenaar geworden en  
liet zijn ‘bezit’ schilderen. Het werd 
een geromantiseerde voorstelling 
vanuit een koloniale blik. DIRK VALKENBURG, CA. 1707 |  
RIJKSMUSEUM",Historical Slavery,1,False
"Bulten, ‘Classifications at Work. Social Categories and Dutch Bureaucracy 
in Colonial Sri Lanka,’ Itinerario 45:2 (2021) 
252–278. ◼ ◼◼  M
Maarseveen, van, Briefwisseling van Nicolaas 
Pierson, 309. Pierson aan Van Houten, 30 
november 1871 (Amsterdam 1993). Maier, Henk, ‘Nederlands-Indië en het Maleis,’ 
in: Kees Groeneboer, Koloniale taalpolitiek in Oost 
en West. Nederlands-Indië, Suriname, Nederlandse 
Antillen en Aruba (Amsterdam 1997) 13-54. Martis, Adi, De geschiedenis van Aruba tot 1816 
(Volendam 2018). Maskiell, Nicole, Bound by Bondage. Slavery and the 
Creation of a Northern Gentry (Ithaca / Londen 
2022). Masters, A., ‘A Thousand Invisible Architects.",Colonialism,0,False
"dan de helft van de Afro-Antillianen en iets minder Afro-Surinamers hebben een partner van de 
andere etnische groep, veelal inheemse Nederlanders.19 Op de CAS- en BES-eilanden zien we 
ook eenzelfde dynamiek waarbij exogamie vaak voorkomt.20 De exogame cultuur van de Afro-
Antillianen en Afro-Surinamers vereist dat er analytisch secuur te werk wordt gegaan. Hoe typeer je een Nederlandse jongen die actief is in de antiracismestrijd met een witte 
inheemse moeder en een vader die ook etnisch gemengd is?21 Zijn vader heeft een Curaçaose 
moeder en een vader die voorkomt uit een menging van een Afro- en Javaanse Surinamer. Zonder te vervallen in het idee van interracialiteit geeft dit voorbeeld aan dat de meeste 
statistieken in Nederland deze diversiteit niet opnemen omdat een zwart-wit raster 
domineert.22  
Alleen door Afro-Antillianen en Afro-Surinamers te bestuderen in termen van 
ideaaltypen, kan men recht doen aan de dynamiek en diversiteit die schuilgaan achter de 
cijfers. Dit geldt ook op de CAS- en BES-eilanden.23 Complicering ontkracht natuurlijk niet het 
gegeven dat, of zij gemixt zijn of niet, velen vandaag de dag nog de erfenis van slavernij 
ervaren. Velen herkennen zich in het idee dat Afro-Antillianen en Afro-Surinamers mentaal nog 
moeten helen: 
  
Je kunt niet verwachten dat de voormalige slaven na de afschaffing van de slavernij op 1 
juli 1863 ineens in een bruisende, ondernemende gemeenschap zijn veranderd. Dat kost 
wel een paar generaties. De zwarte bevolking is voor een groot deel nog steeds bezig 
 
d'jonge Hond en Forum. In Nederland zijn er ook organisaties en bewegingen ontstaan die erkenning vragen voor dit 
fenomeen. Een voorbeeld is de jaarlijkse terugkerende festival Lovingday:  http://lovingday.nl/loving-day-2015/. Ook programmas in de Balie: https://debalie.nl/programma/liefde-in-tijden-van-racisme/.",Modern Racism & Inequality,2,False
"— 352 —
— STAAT EN SLAVERNIJ —
◼ ◼◼  Slaafgemaakten in zestiende-eeuws Antwerpen
De betrokkenheid van de Nederlanden in de vroege slavernij was ook 
terug te zien in het centrum van de handel: Antwerpen. Sinds de negen­
tiende eeuw hebben historici naar sporen van Afrikanen en slaafgemaak­
ten in de zestiende-eeuwse Nederlanden en Antwerpen gezocht. Vaak 
wordt vermeld dat in Antwerpen, na Lissabon, de grootste groep uit Afrika 
afkomstige personen leefde. Dat is zeker overdreven. In de Portugese 
archieven en beeldcultuur uit die periode zijn veel meer sporen te vinden 
van deze bevolkingsgroep dan in de bronnen voor de Zuidelijke Neder­
landen. Toch waren er ook in Antwerpen wel degelijk zwarte mensen 
­aanwezig, onder wie ook slaafgemaakten. Het contrast tussen het verbod op slavernij in de Nederlanden en de 
aanwezigheid van personen uit Afrika, al dan niet slaafgemaakt, is een 
klassieker in de historiografie. In 1582 stelde het Antwerpse gewoonte­
recht onder titel xxxvi immers dat alle mensen in Antwerpen vrij zouden 
zijn en dat iedereen die als slaafgemaakte werd gehouden zich hiertegen 
mocht beroepen. Desondanks leveren de Antwerpse archieven interessan­
te gevallen op over de aanwezigheid van (al dan niet) zwarte slaafgemaak­
ten in zestiende-eeuws Antwerpen. Zo laat de Portugese koopman George 
de Sulco Lobo in 1516 publiek afroepen dat de twee verdwenen “moren 
alnoch nyet kersten wesende cleedt in scippers cleederen” (moren die geen 
christen zijn en als schippers gekleed gaan) gezocht moeten worden en 
terug aan hun eigenaar bezorgd moeten worden.7 Dat hier expliciet ver­
meld wordt dat de twee geen christenen zijn, heeft te maken met het feit 
dat christenen niet tot slaaf gemaakt konden worden in de Nederlanden.",Historical Slavery,1,False
"Indonesia,’Asian Perspectives. Journal of 
Archaeology for Asia and the Pacific, 52(2) (2013) 
213–243; Felicia Fricke et al. ‘Delayed 
physical development in a first generation 
enslaved African woman from Pietermaai, 
Curaçao,’International Journal of 
Osteoarchaeology, 30(1) (2019) 43–52; Brent 
Sinclair-Thomson en Sam Challis, ‘Runaway 
slaves, rock art and resistance in the Cape 
Colony, South Africa,’Azania. Archaeological 
Research in Africa, 55(4) (2020) 475–491; Cheryl 
White, ‘Archaeological investigation of 
Suriname Maroon ancestral 
communities,’Caribbean Quarterly, 55(2) 
(2009) 65–88. 2. Zie onder meer: Julie M. Schablitsky et al., 
‘Ancient dna analysis of a nineteenth 
century tobacco pipe from a Maryland slave 
quarter,’ Journal of Archaeological Science, 105 
(2019) 11–18. ◼ ◼◼  Belast koloniaal verleden – Anne-Marieke 
van Schaik
1. J. Mellegers, ‘Public Finance of Indonesia 
1817-1940,’ datafiles iisg, copy of revenues.",Colonialism,0,False
"48. Van Rĳn, Het groote Tafereel der Dwaasheid en zĳn geschiedenis, viii. 49. Tĳdens het bestaan van de Provinciale Utrechtsche Geoctroyeerde 
Compagnie waren dit Johan August van Bögen (1732-1734), Paul Gillette 
(1734-1739), Hendrick de Cock (1739-1740), en Andries Grootveld (1740-
?). 50. nl-uthua, Notarissen, 34-4, inv.nr. U182a003, aktenr. 27. 51. Van Stipriaan, Surinaams contrast, 293-294.",Colonialism,0,False
"— 450 —
— STAAT EN SLAVERNIJ —
met een kroon op mijn hoofd. Pacificatie en verzet in 
koloniaal en postkoloniaal Suriname (Amsterdam 
2007) 136-139. 7. Rosemarijn Höfte, Plantation Labor after the 
Abolition of Slavery. The Case of Plantation 
Marienburg (Suriname), 1880-1940 (Gainsville 
1987). 8. Gert Oostindie, De parels en de kroon. Het 
Koningshuis en de koloniën (Amsterdam 2006) 
51-53. 9. Marieke Bloembergen, De geschiedenis van de 
politie in Nederlands-Indië.",Colonialism,0,False
"De Sociëteit van Suriname was het samenwerkingsverband van de wic, 
de stad Amsterdam en de familie Van Aerssen van Sommelsdĳck, dat 
de plantagekolonie beheerde en bestuurde. Zie Karwan Fatah-Black, 
Sociëteit van Suriname, 1683-1795. Het bestuur van de kolonie in de acht-
tiende eeuw (Zutphen: Walburg Pers, 2019), 65-67. 9. J.P. van de Voort, De Westindische plantages van 1720 tot 1795: financiën 
en handel (Eindhoven: De Witte, 1973), 185. 10. ‘Berigt en advis van het Hof op het versoek van J. Petsch […]’, Extract uit 
de Resolutien van de Heeren Staaten van Hollandt ende West-Vrieslandt,",Colonialism,0,False
"Het gaat ook over de massale 
investeringen in plantages en compagnieën en over de bestuurlĳke 
bemoeienis met het koloniale bedrĳf. Maar de slavernĳ zit ook in de 
materiële cultuur van de stad, in de museumcollecties, de geschiedenis 
van de universiteit en in de betrokkenheid van kerkelĳke instellingen 
bĳ de slavernĳ. Het Utrechtse aandeel in het Nederlandse kolonialisme en het aandeel 
van de slavernĳ in de Utrechtse samenleving waren tot nu toe zo goed 
als onbekend terrein. Dit boek levert dus in veel opzichten pionierswerk. Het is een begin, een aanzet tot kennis over de koloniale grondslagen 
van de Nederlandse samenleving. Het brengt verschillende expertises 
bĳ elkaar – die van de lokale Utrechtse geschiedenis met die van het 
Nederlandse kolonialisme en de slavernĳ. Vanuit Utrecht trekken de 
auteurs lĳnen naar de Nederlandse koloniën in Brazilië, Suriname, 
Berbice, Essequibo, Demerara, de Antillen, de kusten van West-Afrika, 
Zuid-Afrika, India, Sri Lanka en de Indonesische archipel. Het laat 
vooral zien hoezeer een stad als Utrecht, die schĳnbaar zo buiten het 
commerciële rumoer van de Hollandse en Zeeuwse havensteden lag, 
op de golven van het koloniale fortuin van de Republiek meevoer.",Colonialism,0,False
"(2013). Entitlement racism: License to humiliate. European Network Against Racism, 
Recycling Hatred: Racism (s) in Europe Today,  
Essed, P. (2018, 1984). Alledaags Racisme. Amsterdam: van Gennep.",Modern Racism & Inequality,2,False
