topic,term,cosine,df,keep
Modern racism& inequality,racisme,1.0,317,True
Modern racism& inequality,discriminatie,1.0,141,True
Modern racism& inequality,ongelijkheid,1.0,42,True
Modern racism& inequality,segregatie,1.0,13,True
Modern racism& inequality,discrimination,0.9832,14,True
Modern racism& inequality,discrimineren,0.9333,9,True
Modern racism& inequality,racistische,0.9234,52,True
Modern racism& inequality,racistisch,0.921,28,True
Modern racism& inequality,discriminerend,0.8909,10,True
Modern racism& inequality,discriminerende,0.87,6,True
Modern racism& inequality,anti-racisme,0.8694,7,True
Modern racism& inequality,gediscrimineerd,0.8524,7,True
Modern racism& inequality,non-discriminatie,0.8404,13,True
Modern racism& inequality,antiracisme,0.833,9,True
Modern racism& inequality,raciale,0.8328,23,True
Modern racism& inequality,racism,0.8113,21,True
Modern racism& inequality,raciaal,0.7771,7,True
Modern racism& inequality,ongelijkheden,0.7718,7,True
Modern racism& inequality,ongelijke,0.7471,27,True
Modern racism& inequality,discriminatietoets,0.7127,37,True
Modern racism& inequality,racist,0.7118,8,True
Modern racism& inequality,antidiscriminatievoorzieningen,0.7094,7,True
Modern racism& inequality,agressie,0.7087,10,True
Modern racism& inequality,etnisch,0.6835,27,True
Modern racism& inequality,generaties,0.6639,35,True
Modern racism& inequality,gelijkheid,0.6543,25,True
Modern racism& inequality,etnische,0.6133,64,True
Modern racism& inequality,fascisme,0.5922,5,True
Modern racism& inequality,gemeenschappen,0.5726,58,True
Modern racism& inequality,armoede,0.5558,19,True
