term,parent,cosine,decision,rationale
interkoloniale,postkoloniale,0.719,KEEP,"Intercolonial (between colonies) - relevant for structural continuity patterns. Lower to 0.85 related_strong"
verbouw,onderontwikkeling,0.717,REMOVE,"Verbouw (renovation/reconstruction) - orthographic similarity but different meaning (construction vs underdevelopment)"
doorbreking,doorwerking,0.716,REMOVE,"Doorbreking (breakthrough) - opposite meaning to doorwerking (continuity). Semantic drift."
turele,structurele,0.713,REMOVE,"Turele - morphological fragment/OCR error. Not a valid Dutch word."
constructie,structurele,0.711,REMOVE,"Constructie (construction) - too generic, orthographic similarity to structurele but wrong semantic space"
onderbouwde,onderontwikkeling,0.709,REMOVE,"Onderbouwde (substantiated) - orthographic similarity but different meaning (justification vs underdevelopment)"
afbouw,onderontwikkeling,0.708,REMOVE,"Afbouw (dismantling/downsizing) - orthographic similarity but opposite policy meaning"
co-kolonisten,postkoloniale,0.702,REMOVE,"Co-kolonisten - rare compound, unclear meaning. Likely low relevance."
ex-koloniën,postkoloniale,0.699,KEEP,"Ex-colonies (former colonies) - directly relevant to postcolonial context. Lower to 0.85 related_strong"
ontwikkelen,onderontwikkeling,0.698,REMOVE,"Ontwikkelen (to develop) - opposite meaning to onderontwikkeling (underdevelopment). Too generic verb."
effecten,doorwerkingen,0.697,REMOVE,"Effecten (effects) - too generic, weak semantic connection to continuity mechanisms"
aanbouw,onderontwikkeling,0.688,REMOVE,"Aanbouw (extension/addition) - orthographic similarity but construction meaning, not underdevelopment"
concrete,structureel,0.687,REMOVE,"Concrete (concrete/specific) - too generic adjective, weak connection to structural patterns"
ondervinden,onderontwikkeling,0.683,REMOVE,"Ondervinden (to experience) - generic verb, orthographic similarity only"
bouwwerk,structurele,0.680,REMOVE,"Bouwwerk (building/structure) - literal construction meaning vs structural patterns. Wrong semantic space."
antikoloniale,postkoloniale,0.679,KEEP,"Anticolonial - relevant for resistance/postcolonial context. Lower to 0.75 related_moderate (historical resistance context)"
bouw-,structurele,0.679,REMOVE,"Bouw- (build prefix) - morphological fragment, construction meaning not structural patterns"
bouwen,structurele,0.678,REMOVE,"Bouwen (to build) - literal construction vs structural patterns. Wrong semantic space."
koloniseren,postkoloniale,0.676,REMOVE,"Koloniseren (to colonize) - historical action verb, not postcolonial structural pattern. Wrong temporal frame."
heritage,erfenis,0.674,KEEP,"Heritage (English cognate) - directly means legacy/inheritance. Keep at 0.95 strong_problem (English term in Dutch corpus)"
doorontwikkeld,onderontwikkeling,0.673,REMOVE,"Doorontwikkeld (further developed) - opposite meaning to underdevelopment"
gekoloniseerden,postkoloniale,0.670,KEEP,"Gekoloniseerden (the colonized people) - relevant actors in postcolonial context. Lower to 0.85 related_strong"
