filename,chunk_id,sentence_count,raw_text,text_for_scoring,cos_Colonialism,cos_Historical Slavery,cos_Modern Racism & Inequality,max_score,primary_topic,score_margin,confidence_level
C:\Users\Home\policy-analysis\Slavery_text\Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen.10.txt,4f18bf34:00000,8,"— 10 —
Rose Mary Allen (1950) is cultureel antropoloog. Ze 
is buitengewoon hoogleraar Cultuur, gemeenschap 
en geschiedenis aan de Universiteit van Curaçao. Esther Captain (1969) is historicus en als senior  
onderzoeker werkzaam bij het Koninklijk Instituut 
voor Taal-, Land- en Volkenkunde (kitlv) in Leiden. Haar expertise is laatkoloniaal Indonesië en de 
­Indonesische revolutie, postkoloniaal Nederland 
in relatie tot de Nederlands-Caribische eilanden, 
­Indonesië en Suriname. Matthias van Rossum (1984) is historicus en als senior 
onderzoeker verbonden aan het Internationaal 
Instituut voor Sociale Geschiedenis (iisg) in 
Amsterdam. Hij is gespecialiseerd in de geschiedenis 
van slavernij in Azië en de verbindingen met het 
Atlantische slavernijverleden. Urwin Vyent (1958) is directeur van het Nationaal 
­Instituut Nederlands slavernijverleden en erfenis 
­(NiNsee). Naast zijn werk voor NiNsee houdt hij zich 
bezig met de ontwikkeling van een slavernijmuseum 
in Amsterdam.",rose mary allen cultureel antropoloog buitengewoon hoogleraar cultuur gemeenschap geschiedenis universiteit curaçao esther captain historicus senior onderzoeker werkzaam koninklijk instituut taal land volkenkunde kitlv leiden expertise laatkoloniaal indonesië indonesische revolutie postkoloniaal nederland relatie nederlands caribische eilanden indonesië suriname matthias rossum historicus senior onderzoeker verbonden internationaal instituut sociale geschiedenis iisg amsterdam gespecialiseerd geschiedenis slavernij azië verbindingen atlantische slavernijverleden urwin vyent directeur nationaal instituut nederlands slavernijverleden erfenis ninsee werk ninsee houdt bezig ontwikkeling slavernijmuseum amsterdam,0.5083410196955122,0.3652801901255713,0.33857311431621945,0.5083410196955122,Colonialism,0.14306082956994087,high
C:\Users\Home\policy-analysis\Slavery_text\Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen.103.txt,e001db73:00001,6,"Het geld is bij jou. Maar 
waar komt het geld in eerste instantie vandaan?’15 
Bewustwording en verandering van dit economische systeem wordt als 
een manier gezien om de excuses in de praktijk te brengen, anders is het 
slechts een loos gebaar. Daarbij is het belangrijk dat de excuses worden 
gemaakt door de partijen, bijvoorbeeld organisaties en bedrijven, die 
toen de grootste winsten hebben gehaald. Het gaat niet om individuele 
burgers: verantwoordelijkheid moet gedragen worden door degenen die 
structureel verantwoordelijk waren voor slavernij. Herstelbetalingen 
­worden niet gezien als geld dat van de ene naar de andere partij gaat, 
maar als een manier om de economie in Suriname en op de Antillen op te 
bouwen, die door de Nederlandse kolonisator slecht was achtergelaten: 
een vorm van structureel rechtsherstel. Belangrijk is dan ook dat Surina­
me en de Antillen zelf bepalen waar het geld precies aan moet worden 
besteed, en niet de voormalige kolonisator.",geld jou waar komt geld eerste instantie vandaan bewustwording verandering economische systeem manier gezien excuses praktijk brengen anders slechts loos gebaar daarbij belangrijk excuses gemaakt partijen bijvoorbeeld organisaties bedrijven grootste winsten gehaald gaat individuele burgers verantwoordelijkheid gedragen degenen structureel verantwoordelijk slavernij herstelbetalingen gezien geld ene partij gaat manier economie suriname antillen bouwen nederlandse kolonisator slecht achtergelaten vorm structureel rechtsherstel belangrijk surina antillen bepalen waar geld precies besteed voormalige kolonisator,0.22276458218966985,0.3689921062195094,0.18815479767565418,0.3689921062195094,Historical Slavery,0.14622752402983955,high
C:\Users\Home\policy-analysis\Slavery_text\Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen.107.txt,8f5350f2:00000,10,"— 107 —
ook worden gebruikt om te weten te komen hoe en waarom mensen, door over 
het verleden te spreken, inhoud trachten te geven aan hun plaats in het heden. De aandacht voor de bronnen manifesteert zich ook in het actief creëren van 
verzamelingen van orale bronnen, door ze op te slaan in databanken en 
archiefinstellingen. In Nederland zijn er bijvoorbeeld verschillende archieven 
waarin herinneringen van personen over het koloniale verleden zijn vastgelegd 
op geluids- en beeldmateriaal (zie: Oral History van Data Archiving and 
Networked Services). Een bekend voorbeeld is het archief van de Stichting 
Mondelinge Geschiedenis Indonesië, dat samenvattingen van 1190 interview­
sessies met 724 mensen bevat die informatie geven over de periode 1940-1962 
van de Nederland­se koloniale aanwezigheid in Azië. Op Curaçao hebben de 
volkenkundigen Paul Brenneker en Elis Juliana vanaf 1958 een grote hoeveelheid 
mondelinge infor­matie verzameld. De meeste van de door hen verzamelde 
informatie is opgesla­gen in de Zikinzá-collectie, een databank bestaande uit 
1400 liederen, verhalen en levensverhalen. Bij de Sint-Eustatius Historical Foun­
dation zijn de stemmen van afstammelingen van de slaafgemaakten bewaard 
gebleven, nadat die in de jaren zeventig waren verzameld door de Amerikaanse 
journalist Vivian Graham. Journalist en auteur Boi Antoin heeft de afgelopen 
jaren op Bonaire een uitgebreide collectie van onder andere videobanden en 
audiotapes verzameld, die gedigitaliseerd en ontsloten zijn in het archief Archivo 
Boneiru. Het Instituut voor Beeld en Geluid heeft een deel van deze collectie in 
haar catalogus opgenomen. In Suriname heeft het Amazon Conservation Team, 
in samen­werking met lokale bevolkingen, door middel van orale geschiedenis, 
interactieve kaarten, oude foto’s en archiefstukken, de historie van de marron­
gemeenschap Matawai vastgelegd.",weten komen waarom mensen verleden spreken inhoud trachten geven plaats heden aandacht bronnen manifesteert actief creëren verzamelingen orale bronnen slaan databanken archiefinstellingen nederland bijvoorbeeld verschillende archieven waarin herinneringen personen koloniale verleden vastgelegd geluids beeldmateriaal zie oral history data archiving networked services bekend voorbeeld archief stichting mondelinge geschiedenis indonesië samenvattingen interview sessies mensen bevat informatie geven periode nederland se koloniale aanwezigheid azië curaçao volkenkundigen paul brenneker elis juliana vanaf grote hoeveelheid mondelinge infor matie verzameld meeste hen verzamelde informatie opgesla gen zikinzá collectie databank bestaande liederen verhalen levensverhalen sint eustatius historical foun dation stemmen afstammelingen slaafgemaakten bewaard gebleven nadat zeventig verzameld amerikaanse journalist vivian graham journalist auteur boi antoin afgelopen bonaire uitgebreide collectie videobanden audiotapes verzameld gedigitaliseerd ontsloten archief archivo boneiru instituut beeld geluid collectie catalogus opgenomen suriname amazon conservation team samen werking lokale bevolkingen middel orale geschiedenis interactieve kaarten oude foto archiefstukken historie marron gemeenschap matawai vastgelegd,0.3550073475796577,0.302907051635314,0.2930416899977756,0.3550073475796577,Colonialism,0.05210029594434368,high
C:\Users\Home\policy-analysis\Slavery_text\Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen.110.txt,d68c406d:00000,3,"— 110 —
Ellen Klinkers (1964) is gespecialiseerd in de 
koloniale geschiedenis van Nederland. Ze 
­promoveerde op een proefschrift over de 
afschaffing van de slavernij in Suriname. Ze schreef in opdracht van het Koninklijk 
­Instituut voor Taal-, Land- en Volkenkunde 
(kitlv) een boek over de koloniale politie in 
Suriname en in opdracht van het Nederlands 
Instituut voor Militaire Geschiedenis (nimh) 
een boek over de Troepenmacht in Suriname.",ellen klinkers gespecialiseerd koloniale geschiedenis nederland promoveerde proefschrift afschaffing slavernij suriname schreef opdracht koninklijk instituut taal land volkenkunde kitlv boek koloniale politie suriname opdracht nederlands instituut militaire geschiedenis nimh boek troepenmacht suriname,0.4081862581541644,0.304669558613393,0.2984920416068907,0.4081862581541644,Colonialism,0.10351669954077142,high
C:\Users\Home\policy-analysis\Slavery_text\Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen.111.txt,acd0142c:00001,6,"Luitenant Meynell maakte 
een aquarel van het ruim van het schip met de mensen die daar zaten 
opgesloten. De Albanez werd naar de haven van Freetown in Sierra Leone geleid. Maar liefst 148 slaafgemaakten waren omgekomen tijdens de reis. De over­
levenden herkregen hun vrijheid, de slavenhandelaren werden berecht. De aquarel toont dus de slavenhandel, die eveneens plaatsvond in de 
Nederlandse koloniën in het Atlantisch gebied, ook nadat het verbod erop 
in 1807 door de Engelsen was afgekondigd. Zij waren overigens niet de",luitenant meynell maakte aquarel ruim schip mensen zaten opgesloten albanez freetown sierra leone geleid liefst slaafgemaakten omgekomen reis levenden herkregen vrijheid slavenhandelaren werden berecht aquarel toont slavenhandel eveneens plaatsvond nederlandse koloniën atlantisch gebied nadat verbod erop engelsen afgekondigd overigens,0.26072944317356267,0.3582943957412414,0.23138628858671065,0.3582943957412414,Historical Slavery,0.09756495256767872,high
C:\Users\Home\policy-analysis\Slavery_text\Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen.112.txt,ef3b9806:00000,7,"— 112 —
— STAAT EN SLAVERNIJ —
eersten die daarmee kwamen – de Denen waren hen in 1803 voorgegaan. De Engelsen konden die maatregel ook voor de Nederlandse koloniën 
afdwingen omdat zij die in handen hadden tijdens de napoleontische 
bezetting van Nederland. Na teruggave van de koloniën aan Nederland 
in 1815 bleef het verbod van kracht. Omdat slavernij zelf nog was toegestaan, bleef de vraag naar slaafge­
maakte Afrikanen bestaan, bijvoorbeeld op plantages in Suriname en op 
de Caribische eilanden Cuba, Puerto Rico, Santo Domingo, Martinique en 
Guadeloupe. Met het Deense eiland Sint-Thomas als centrum werkten de 
Nederlandse eilanden Sint-Eustatius, Saba en Sint-Maarten actief mee aan 
deze handel. De archeoloog en historicus Ryan Espersen toonde aan dat 
dit onder andere gebeurde door het verschaffen van de benodigde papie­
ren, waarmee de illegale handel in slaafgemaakten in feite werd gelegiti­
meerd. In Suriname, waar jaarlijks rond de duizend slaafgemaakten het 
land werden binnengesmokkeld, waren het straffen van de handelaren 
Francis Meynell schilderde uit slavernij bevrijde mensen op het schip Albanez,  
nadat het in 1848 in beslag was genomen maar de mensen nog niet  
aan land waren gebracht.",staat slavernij eersten daarmee kwamen denen hen voorgegaan engelsen konden maatregel nederlandse koloniën afdwingen handen hadden napoleontische bezetting nederland teruggave koloniën nederland bleef verbod kracht slavernij toegestaan bleef slaafge maakte afrikanen bestaan bijvoorbeeld plantages suriname caribische eilanden cuba puerto rico santo domingo martinique guadeloupe deense eiland sint thomas centrum werkten nederlandse eilanden sint eustatius saba sint maarten actief mee handel archeoloog historicus ryan espersen toonde gebeurde verschaffen benodigde papie ren waarmee illegale handel slaafgemaakten feite gelegiti meerd suriname waar jaarlijks rond duizend slaafgemaakten land werden binnengesmokkeld straffen handelaren francis meynell schilderde slavernij bevrijde mensen schip albanez nadat beslag genomen mensen land gebracht,0.3734261618055714,0.46251613102890604,0.2831256871807545,0.46251613102890604,Historical Slavery,0.08908996922333462,high
C:\Users\Home\policy-analysis\Slavery_text\Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen.113.txt,0ac769e6:00000,10,"— 113 —
— SLAVERNIJ, AFSCHAFFINGEN EN DOORWERKINGEN —
enerzijds en de verplichte registratie van slaafgemaakten vanaf 1826 
anderzijds effectieve maatregelen om deze praktijk te bestrijden.1
In die Surinaamse plantage-economie, waar slaafgemaakten meer dan 
negentig procent van de bevolking uitmaakten, tonen de demografische 
cijfers niet alleen het gevolg van de slavernij voor de levens van mensen 
maar ook het falen van dat systeem na het stoppen van de handel; nooit 
zou het aantal geboortes de sterfte overstijgen. Vooral het leven op de 
­suikerplantages eiste zijn tol. Toen de invoer van nieuwe slaafgemaakten 
stopte, voelden de planters direct de gevolgen. De slavernij op de eilanden werd daarentegen niet gekenmerkt door een 
sterfteoverschot. Een gezonder klimaat en het ontbreken van een groot­
schalige plantage-economie zoals in Suriname zouden redenen daarvoor 
kunnen zijn. Daarom werd lange tijd aangenomen dat slavernij op 
de eilanden minder zwaar was. Recent archeologisch (bot)onderzoek en 
onderzoek naar het gebruik van orale tradities op de Caribische eilanden 
door onder andere archeoloog Felicia Fricke doen dat beeld kantelen. Beide tonen nieuwe perspectieven op de levensomstandigheden van slaaf­
gemaakten, hun dieet, fysieke gesteldheid, eventuele letsels als gevolg van 
straffen en daarmee ook op verzet en religie. De verschillen tussen de 
eilanden worden zichtbaar. Mogelijk biedt dit onderzoek in de toekomst 
meer informatie over de levensomstandigheden in de laatste fase van de 
slavernij, na de afschaffing van de handel.2 
De afschaffing van de (illegale) slavenhandel vormde de aanzet tot her­
vormingen door het koloniale bestuur.",slavernij afschaffingen doorwerkingen enerzijds verplichte registratie slaafgemaakten vanaf anderzijds effectieve maatregelen praktijk bestrijden surinaamse plantage economie waar slaafgemaakten negentig procent bevolking uitmaakten tonen demografische cijfers alleen gevolg slavernij levens mensen falen systeem stoppen handel nooit geboortes sterfte overstijgen vooral leven suikerplantages eiste tol invoer nieuwe slaafgemaakten stopte voelden planters direct gevolgen slavernij eilanden daarentegen gekenmerkt sterfteoverschot gezonder klimaat ontbreken groot schalige plantage economie suriname zouden redenen daarvoor daarom lange tijd aangenomen slavernij eilanden zwaar recent archeologisch bot orale tradities caribische eilanden archeoloog felicia fricke beeld kantelen beide tonen nieuwe perspectieven levensomstandigheden slaaf gemaakten dieet fysieke gesteldheid eventuele letsels gevolg straffen daarmee verzet religie verschillen eilanden zichtbaar mogelijk biedt toekomst informatie levensomstandigheden laatste fase slavernij afschaffing handel afschaffing illegale slavenhandel vormde aanzet vormingen koloniale bestuur,0.4257570531367432,0.5859125890281653,0.3572516258536693,0.5859125890281653,Historical Slavery,0.16015553589142212,high
C:\Users\Home\policy-analysis\Slavery_text\Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen.113.txt,0ac769e6:00001,5,"Aan voeding en levensomstandig­
heden werden minimumeisen gesteld, het ongelimiteerde straffen werd 
aan banden gelegd, verkoop of verplaatsing van slaafgemaakten werd 
bemoeilijkt en kerstening aangemoedigd. Op Curaçao was bekering tot 
het katholicisme overigens al in de achttiende eeuw begonnen, in tegen­
stelling tot Suriname, waar de protestante Herrnhutters al enkele decen­
nia voor de afschaffing van de slavernij op de plantages werden toegelaten. Het zou het voortbestaan van in slavernij gevormde Afro-Amerikaanse 
religies, talen en culturen in Suriname en op de eilanden niet bedreigen. Deze maatregelen werden in Suriname genomen in de hoop de bevol­
kingsafname af te remmen. In zowel Suriname als op Curaçao hadden ze 
tot doel om opstanden te voorkomen en uiteindelijk, na de afschaffing van 
de slavernij, een op Europese waarden gebaseerde cultuur en economie 
met bijbehorend arbeidsethos te bewerkstelligen.",voeding levensomstandig heden werden minimumeisen gesteld ongelimiteerde straffen banden gelegd verkoop verplaatsing slaafgemaakten bemoeilijkt kerstening aangemoedigd curaçao bekering katholicisme overigens achttiende eeuw begonnen stelling suriname waar protestante herrnhutters enkele decen nia afschaffing slavernij plantages werden toegelaten voortbestaan slavernij gevormde afro amerikaanse religies talen culturen suriname eilanden bedreigen maatregelen werden suriname genomen hoop bevol kingsafname af remmen zowel suriname curaçao hadden doel opstanden voorkomen uiteindelijk afschaffing slavernij europese waarden gebaseerde cultuur economie bijbehorend arbeidsethos bewerkstelligen,0.30724022930641304,0.4037284903015966,0.3521305855363616,0.4037284903015966,Historical Slavery,0.05159790476523496,high
C:\Users\Home\policy-analysis\Slavery_text\Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen.115.txt,faf44a8a:00000,10,"— 115 —
— SLAVERNIJ, AFSCHAFFINGEN EN DOORWERKINGEN —
die zij als pacht aan het gouvernement afstonden (zie hoofdstuk 12 van 
Jan Breman). Het koloniale juridische systeem maakte het mogelijk om tot dwang­
arbeid veroordeelde gevangenen in te zetten bij militaire expedities van 
het Koninklijk Nederlands-Indisch Leger (knil), al gebeurde dat aanvan­
kelijk formeel alleen op vrijwillige basis. Vanaf 1873 mochten dwangarbei­
ders die tot meer dan drie maanden dwangarbeid waren veroordeeld ook 
buiten de eigen regio worden ingezet. Deze dwangarbeiders werden deni­
grerend betiteld als ‘kettingberen’ omdat zij soms aan elkaar geketend 
werden. De sterfte onder de dwangarbeiders bij het knil was hoog. Precie­
ze cijfers zijn niet bekend, maar tijdens de Atjehoorlog (1873-1914) zouden 
zo’n 25 000 van hen zijn omgekomen. Verder werden ze ingezet bij de aan­
leg van wegens en havens, in de mijn- en de landbouw. In de twintigste 
eeuw nam de inzet van dwangarbeiders bij het knil af omdat er minder 
militaire expedities werden georganiseerd, niet omdat er een verbod op 
deze vorm van dwangarbeid kwam in Nederlands-Indië.4 Het cultuurstel­
sel en de inzet van dwangarbeiders bij het knil laten zien dat de opheffing 
van slavernij de continuering van dwangarbeid niet belemmerde. Schrijver en tekenaar W.E.H. Winkels 
dreef in 1863 de spot met de afschaffing 
van de slavernij.",slavernij afschaffingen doorwerkingen pacht gouvernement afstonden zie hoofdstuk jan breman koloniale juridische systeem maakte mogelijk dwang arbeid veroordeelde gevangenen zetten militaire expedities koninklijk nederlands indisch leger knil gebeurde aanvan kelijk formeel alleen vrijwillige basis vanaf mochten dwangarbei ders drie maanden dwangarbeid veroordeeld eigen regio ingezet dwangarbeiders werden deni grerend betiteld kettingberen soms elkaar geketend werden sterfte dwangarbeiders knil hoog precie cijfers bekend atjehoorlog zouden n hen omgekomen verder werden ingezet leg wegens havens landbouw twintigste eeuw nam inzet dwangarbeiders knil af militaire expedities werden georganiseerd verbod vorm dwangarbeid kwam nederlands indië cultuurstel sel inzet dwangarbeiders knil laten zien opheffing slavernij continuering dwangarbeid belemmerde schrijver tekenaar w e h winkels dreef spot afschaffing slavernij,0.4453827669254749,0.5491901467241115,0.3718813068570702,0.5491901467241115,Historical Slavery,0.10380737979863658,high
C:\Users\Home\policy-analysis\Slavery_text\Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen.116.txt,5a86ac64:00001,10,"In Suriname kregen ze een schadeloosstelling van driehonderd 
gulden per vrijgemaakte. Op Curaçao, Bonaire, Aruba, Sint-Eustatius en 
Saba was dat tweehonderd gulden. Omdat op Sint-Maarten de slavernij 
in praktijk al in 1848 was opgeheven, kregen de eigenaren daar honderd 
gulden per vrijgemaakte uitbetaald. De vrijgemaakten zelf kregen niets. 5 
In Suriname volgde er na de afschaffing van de slavernij een tienjarige 
overgangsperiode, het zogenaamde staatstoezicht. De voormalige slaaf­
gemaakten werden tot nog tien jaar plantagearbeid verplicht. Zij konden 
jaarlijks contracten sluiten op plantages naar keuze. Veranderen van werk­
gever was een van de weinige manieren om vrijheid van arbeid te ervaren 
en de planters te laten voelen dat nu ook zij afhankelijk waren van hun 
bereidheid om te werken. Maar het loon dat ze voor hun werk kregen 
was nauwelijks voldoende om een gezin te onderhouden, terwijl ouderen 
zonder contract vaak in armoede op de plantages leefden.6
Op de Nederlandse eilanden in de Cariben was geen staatstoezicht. De eilanden waren handelskoloniën, geen economieën met massale inzet 
van slaafgemaakten; op de plantages werd vooral voor de lokale markten",suriname kregen schadeloosstelling driehonderd gulden per vrijgemaakte curaçao bonaire aruba sint eustatius saba tweehonderd gulden sint maarten slavernij praktijk opgeheven kregen eigenaren honderd gulden per vrijgemaakte uitbetaald vrijgemaakten kregen suriname volgde afschaffing slavernij tienjarige overgangsperiode zogenaamde staatstoezicht voormalige slaaf gemaakten werden tien plantagearbeid verplicht konden jaarlijks contracten sluiten plantages keuze veranderen werk gever weinige manieren vrijheid arbeid ervaren planters laten voelen afhankelijk bereidheid werken loon werk kregen nauwelijks voldoende gezin onderhouden terwijl ouderen contract vaak armoede plantages leefden nederlandse eilanden cariben staatstoezicht eilanden handelskoloniën economieën massale inzet slaafgemaakten plantages vooral lokale markten,0.32540994794470346,0.4345535938371729,0.24445634000857963,0.4345535938371729,Historical Slavery,0.10914364589246944,high
