topic,term,cosine,df,keep
Modern racism& inequality,racisme,1.0,448,True
Modern racism& inequality,discriminatie,1.0,211,True
Modern racism& inequality,ongelijkheid,1.0,44,True
Modern racism& inequality,huisvesting,1.0,7,True
Modern racism& inequality,arbeidsmarkt,1.0,31,True
Modern racism& inequality,segregatie,1.0,12,True
Modern racism& inequality,discrimination,0.9832,5,True
Modern racism& inequality,discrimineren,0.9333,9,True
Modern racism& inequality,racistische,0.9234,54,True
Modern racism& inequality,racistisch,0.921,34,True
Modern racism& inequality,discriminerend,0.8909,10,True
Modern racism& inequality,discriminerende,0.87,6,True
Modern racism& inequality,antidiscriminatie,0.869,6,True
Modern racism& inequality,gediscrimineerd,0.8524,8,True
Modern racism& inequality,antiracisme,0.833,11,True
Modern racism& inequality,raciale,0.8328,26,True
Modern racism& inequality,racism,0.8113,17,True
Modern racism& inequality,woningen,0.784,8,True
Modern racism& inequality,raciaal,0.7771,9,True
Modern racism& inequality,ongelijkheden,0.7718,7,True
Modern racism& inequality,wonen,0.7584,43,True
Modern racism& inequality,ongelijke,0.7471,26,True
Modern racism& inequality,discriminatietoets,0.7127,52,True
Modern racism& inequality,antidiscriminatievoorzieningen,0.7094,7,True
Modern racism& inequality,huizen,0.7031,21,True
Modern racism& inequality,etnisch,0.6835,30,True
Modern racism& inequality,arbeidskrachten,0.6783,7,True
Modern racism& inequality,generaties,0.6639,35,True
Modern racism& inequality,etnische,0.6133,75,True
Modern racism& inequality,fascisme,0.5922,6,True
Modern racism& inequality,exploitatie,0.5826,19,True
Modern racism& inequality,gemeenschappen,0.5726,66,True
Modern racism& inequality,armoede,0.5558,21,True
Modern racism& inequality,woningmarkt,0.5546,8,True
