chunk_id,text_for_scoring,score_Contemporary_Manifestations,score_Historical_Slavery_Colonialism,score_Structural_Continuity_Neocolonial,bertje_score_Contemporary_Manifestations,bertje_score_Historical_Slavery_Colonialism,bertje_score_Structural_Continuity_Neocolonial,cosine_primary,bertje_primary
0cd00362:00007,verzoek ingegeven besef zeker gaat sensitieve geschiedenis koloniale slavernijverleden woorden groot belang tekort waar tekst domein kunst perspectieven slavernijverleden korte toelichting waarin kunstenaars creatie reflecteren vinden betreffende negenentwintig hoofdstukken verkennen belangrijke deelterreinen doorwerking verleden nederlandse koloniale wetenschap deelterreinen gelijke mate waar onderzoek gedaan belang stand kennis kritisch bevraagd mate gehanteerde mogelijke blinde vlekken onderontwikkelde deelgebieden waar weinig onderzoek gedaan soms belangrijker bespreken waarom kennis ontwikkeld welke veronderstellingen rond bepaalde welke inzichten afgeleid resultaten wel beschikbaar belangrijke alex stipriaan nederlandse wetenschap overheid slavernijverleden doorwerkingen publiceerde anton kom inmiddels beroemde wij slaven vlak daarvoor korte gevangenschap verbannen suriname overheidswege zeer tegengewerkt uiteindelijk getraumatiseerd enige tijd inrichting moest drie generaties kom toegevoegd nationale historische canon commissie canon samenstelt benoemd overheid canon leidend lijkt daarmee overheid inclusieve houding ten slavernijverleden ontwikkelen weg daarheen zat vol haarspeldbochten net goed ontwikkeling manier waarop nederlandse overheid omgegaan slavernijverleden doorwerkingen daarvan den getypeerd betrokken sterk afhankelijk politieke,5.467895009532166,5.826446011776172,6.199552901595112,5.964956,5.9767523,5.6629753,Structural_Continuity_Neocolonial,Historical_Slavery_Colonialism
0cd00362:00014,staat slavernij vroegen voormalige slavennaties volledige repatriëring afrika indien hulp ontwikkelingsprogramma hulp opbouw culturele hulp publieke hulp uitbannen hulp hulp psychologische overdracht delen wetenschappelijke januari benaderde voorzitter caricom premier rutte vroeg nederland daaraan dacht bijna jaar later antwoordde premier opsomming waaronder jaarlijkse keti black achievement website essaywedstrijd brief zorgen diepe gevoelens erkend caribische waaronder doorwerkingen zullen zegt premier ervoor zorgen slavernij vergeten daarom nederland moeten concentreren bouwen gezamenlijke toekomst zoeken manieren werking dialoog caribische landen via initiatieven wensen premier uitsprak wellicht voldoen lange diepgaande caricom-conferentie actuele vraagstukken veranderingen waar caricom wanneer tieven gekoppeld relatie slavernijverleden anti-zwartracisme vandaag blijft vooral mooie wel nederland weinige europese landen decade people african descent uitgeroepen verenigde naties iedereen spreekt graag,4.603885387552644,5.087865914829624,3.8445977537164713,5.3932505,5.2255116,4.1249747,Historical_Slavery_Colonialism,Contemporary_Manifestations
0cd00362:00017,tevens amsterdam jaar later dynamische dimensie nationaal tuut nederlands slavernijverleden erfenis actuele vraagstukken nationaal monument spreken ieder jaar juli keti dag waarop nederland slavernij atlantisch gebied vertegenwoordigers overheden treurnis spijt pas zeer december datum keti werden nationale excuses namens staat toezegging term verschillende keren excuses gekoppeld hopen concreet programma komt actief doorwerkingen slag sinds minister boxtel grote vn racismeconferentie durban uitsprak eenentwintig jaar geduurd echte excuses langzaam tien jaar oprichting trok nationale heid bezuinigingsoverwegingen financiële stekker velen dolkstoot rug nieuw bewijs trouwbaarheid danken blijvende ning gemeentelijke overheid amsterdam ninsee blijven daarvoor moesten wel gebouw lopende slavernijtentoonstelling onderwijs opheffen staf minimum tien jaar financiert nationale overheid weer mee medewerkers vele overlegtafels overheid black achievement nationale overheid medegefinancierd gemeente amsterdam ministerie ocw opstart nationaal slavernijmuseum initiatief overigens samenleving kwam via amsterdamse raad beleid vervolgens nationaal coalitieakkoord,6.028208874871452,5.817273857168182,5.7561726203903465,4.761599,5.3353086,4.5685954,Contemporary_Manifestations,Historical_Slavery_Colonialism
0cd00362:00019,misdaad nederlandse lokale politici burgemeesters november excuses haagse meester jan zanen hadden utrecht den basis historisch alle vier formeel excuses aangeboden slavernijverleden sharon burgemeester bood februari namens college burgemeester wethouders excuses rol utrechtse stadsbestuur koloniale onderdrukking slaafgemaakten wonden daardoor begon speech utrechtse janskerk gekozen janskerkhof concentratiepunt directe connecties niale slavernijsysteem vandaag staan stil slavernijverleden onze stad blikken vooruit lessen vind enorm minder misdaad menselijkheid gedurende jaar groot onrecht waar stad utrecht rol illustreren verhaal dertienjarige jongen naam juli utrechtse voc-medewerker jan lambertus spall jongen verkoopakte weten koenjapen stig gemeenschap landarbeiders waarschijnlijk binnen enkele jaren vader gezin stichten belangrijke positie binnen één enkele doorgestreept toekomst anders medewerker verkoop actuele vraagstukken soms data-symboliek wel gezien denk vele ties nationale excuses december plaats juli premier symbolische datum actie vindt dag,5.250778282349197,5.7245788847912245,4.59369435723497,6.1438565,6.1101847,5.120495,Historical_Slavery_Colonialism,Contemporary_Manifestations
0cd00362:00020,juli kielzog amsterdamse bood eerste excuses ontging bijna excuses utrecht toonden naast symbolische alhoewel belangrijk proces belangrijk aanloop excuses kwam utrecht proces gang waarbij ter gesprek ging betrokken burgers terwijl gewerkt geschaafd dag excuses samengewerkt producenten lokale waardoor breed gedragen bijeenkomst kwam vlot achter tijdsbestek anderhalf formele excuses slavernijverleden nederlandse steden overheden recent verhouden slavernijverleden doorwerking rol enkele spijt excuses september betuigde roger toenmalig minister grote steden- tijdens anti-racismeconferentie durban gelezen diepe spijt neigend berouw nederlandse excuses wel conferentie geplaagd grote conflicten tussen naties raakte vergetelheid dezelfde maand aanslagen september wereld conferentie durban absoluut slotverklaring ondanks gesputter misdaad menselijkheid kwam mede dankzij lobbywerk feministische activiste helen felter aanwezig vicevoorzitter european lobby grootste coalitie vrouwenverenigingen eu paste tijdgeest waar nederland mee malig premier wim kok tegenzin excuses sinti roma-gemeenschappen rol nederlandse overheid tweede,5.772071533454051,5.653753583516876,5.852687730280477,4.8757057,5.6954145,5.4784656,Structural_Continuity_Neocolonial,Historical_Slavery_Colonialism
0cd00362:00026,leiden diverse steden buiten randstad zoals tilburg hoven nemen moties starten initiatieven getuigen aandacht slavernijverleden doorwerking wiens geschiedenis gesprekken lokale blom sungur komt steeds voren eigen familiegeschiedenis ervaringen migratiegeschiedenis rassendiscriminatie sterk bijgedragen agendapunten berde brachten politieke koppelden acties slavernijgeschiedenis hedendaagse maatschappelijke inclusief mede dankzij sies stedelijke onderzoeken daarop blom sungur hadden verwacht zoveel boven komen stedelijke verschillende steden willen mede aanleiding moties stellen soort processen lijken heel doordacht volgordelijk plaats vinden allerlei overleg staat slavernij praktijk blijkt vaak rommelige proces zien terug instituties rotterdam schenkt wereldmuseum dacht slavernij universiteit utrecht kwam februari adviesrapport leiding james utrechtse centraal museum vergelijkt vaste collectie namen utrechtse bestuurders koloniale betrokkenheid onderzoek daarmee bewijslast monument materieel herkenningspunt herinneringscultuur excuses uiting rekenschap politieke leiding stad blijken cruciale stappen langer lopend proces waarin wording begrip ontstaan geschiedenis eigen geschiedenis lang erkend vanwege geïmpliceerde gebrek kennis gebrek invoelingsvermogen geschiedenis resoneert hedendaagse culturele sociale herdenken onderzoeken nederlandse nijverleden roept weerstand volgens premier rutte zelfs,3.673176416603744,4.345403692100039,3.8665511986628727,5.3246717,5.2137423,4.191273,Historical_Slavery_Colonialism,Contemporary_Manifestations
0cd00362:00027,politiek filosoof chantal mouffe adviseerde bang ruimte politieke tegenstanders maakt maatschappij groeien onderzoek lokale nationale slavernijverleden zorgt ervoor tegenargumenten lang leverde staat helemaal zoveel tijd waarom dacht lastiger formuleren nuanceert rende claims historische hedendaagse impact burgemeester excuses maakt toont moreel politiek leiderschap geeft daarmee gravitas monument centreert activiteiten emoties richting materiële herinnering combinatie monument excuses werkt zeker elkaars verlengde functioneert wederzijdse inspiratie rotterdam amsterdam voorbeelden utrecht den haag lopen tijdens schrijven processen rondom len monument helaas utrecht inzichten zoek meegenomen vertaling monument alleen gericht trans-atlantische slavernij terwijl onderzoek mondiale reikwijdte utrecht diens koloniale nij zoals speech burgemeester actuele vraagstukken slot nederlandse lokale politici burgemeesters toonden politieke moed verantwoordelijkheid nemen historisch konden alleen dankzij werk activisten onderzoekers gendeerd noodzakelijke kennis inmiddels concluderen druk lokale politici bewindvoerders impact gehad landelijke nieuwe houding landelijke politiek gaan lokale politici weer cruciaal verder historisch interdisciplinair onderzoek komt instituties slavernij kerk koninkrijksbrede impact lokale politici hierover sprak actieve vaak initiërende rol lieten vaak leiden persoonlijke zoals discriminatie stiltes,4.633900518060136,4.688955924118967,3.823316429995584,4.8353777,4.619723,3.9913137,Historical_Slavery_Colonialism,Contemporary_Manifestations
0cd00362:00030,neemt weg schoolboeken sturend belangrijkste informatiebron vormen inhoud belangrijk handboeken leidingen waaruit maken welke kennis aankomende leraren dienen voorschriften slavernijverleden dertig jaar verplicht onderwerp wet basisvorming bepaalt overheid schriften welke onderwerpen alle leerlingen moeten leren basisonderwijs onderbouw voortgezet waar ongeveer helft alle leerlingen denis gelden vanwege grondwettelijke vrijheid onderwijsinrichting omschrijven voorschriften alleen leerlingen moeten vermelden eerste kerndoelen koloniale postkoloniale verhouding tussen nederland oost- kwamen nieuwe steeds daarin verwezen volgende slavernij dekolonisatie suriname landse antillen voc anton kom staat slavernij dekolonisatie suriname caribische slavenarbeid plantages opkomst manier waarop onderwerpen verwezen canon aspecten maakt behandeling ervan basisonderwijs onderbouw voortgezet onderwijs nogal waardoor leraren ruimte laten laatstgenoemde onderwerp bovendien expliciet genoemd havo,4.593088454643922,4.786974549320439,4.317374271884405,4.4649673,4.0871234,3.6670165,Historical_Slavery_Colonialism,Contemporary_Manifestations
0cd00362:00031,deed commissie voorstellen toekomstige kerndoelen beperkte waarin ter vervanging plantageslavernij abolitionisme gekozen minder eurocentrische ding mensenhandel tussen schoolboeken nederland zes commerciële educatieve uitgeverijen series schoolboeken digitale geschiedenis auteurs vrijheid inhoud daarvan natuurlijk belang voldoen mag verwachten anton kom alle meestal vijf jaar voorgeschreven behandeld divers variërend gezet maakt welk schoolboek leraren school kiezen uitgebreid individuele leraar onderwerp tussen alle nederlandse scholen actuele vraagstukken vanaf omstreeks len apart vak waarvoor schoolboeken werden gemaakt text nederlandse overzeese expansie beperkte aandacht besteedden staat verschenen leerboek vaderlandsche teneinde plantages steeds voldoende wijze slaven voorzien johan maurits achtte nij noodzakelijk vermeesterde kust guinea george del alleen handel behoeften braziliaansch hout behield compagnie omstreeks wel plantages goed gevolg begon verbouw cacao katoen handel koffie koloniale producten kreeg groote waarde millioenen soms kwam daarvan damsche,4.685456963460062,4.900895135994608,4.446558018569116,4.8051753,4.584296,4.4635396,Historical_Slavery_Colonialism,Contemporary_Manifestations
0cd00362:00034,schoolboeken geschiedenis apart vak natievakken hoeveelheid aandacht slavernijverleden heel basisschoolboek geschiedenis bevat zeven bladzijden korte afbeeldingen opdrachten leert nieuw werelddeel europeanen gingen wonen daaruit europa slaven deden werk plantages ideeën gelijkheid cratie tijd pruiken revoluties werden handel slavernij koloniën teksten gaat opstand tula curaçao foto tulamonument opdracht volgende uitspraak erg slecht wij willen niemand kwaad wij willen iedereen aarde afstammeling adam zelfs dier krijgt betere auteurs schoolboek kozen relatief ruimte den aandacht beschikbare onderwijstijd aandacht den grootst schoolboeken bovenbouw plaats multiperspectiviteit actuele vraagstukken tegenwoordig sommigen woord vermeden vervangen daarmee drukken slaven onvrijwillig anderen rol werden veroordeeld eigenlijk schrijvers boek kiezen ervoor woord woord geschiedenis gebruikt mee probeer verleden eigenlijk achteraf kwam vroeger vaker mensen middeleeuwse knechten bezitters rijke dienstplichtige soldaten,4.52816504338305,4.818572755122932,3.91092660481096,4.988797,4.958713,4.088774,Historical_Slavery_Colonialism,Contemporary_Manifestations
