topic,term,cosine,df,keep
Modern Racism & Inequality,stereotypering,1.0,6,True
Modern Racism & Inequality,uitsluiting,1.0,48,True
Modern Racism & Inequality,segregatie,1.0,13,True
Modern Racism & Inequality,anti-racisme,0.9206,7,True
Modern Racism & Inequality,stereotyperingen,0.881,7,True
Modern Racism & Inequality,antiracisme,0.8655,9,True
Modern Racism & Inequality,racisme,0.8567,317,True
Modern Racism & Inequality,racistische,0.8418,52,True
Modern Racism & Inequality,vooroordelen,0.8325,36,True
Modern Racism & Inequality,racistisch,0.8154,28,True
Modern Racism & Inequality,insluiting,0.8129,8,True
Modern Racism & Inequality,uitsluiten,0.7657,12,True
Modern Racism & Inequality,anti-zwart,0.7632,21,True
Modern Racism & Inequality,postkoloniale,0.7402,18,True
Modern Racism & Inequality,stereotypen,0.7362,8,True
Modern Racism & Inequality,agressie,0.7087,10,True
Modern Racism & Inequality,postkoloniaal,0.7075,9,True
Modern Racism & Inequality,uitbuiting,0.707,22,True
Modern Racism & Inequality,achterstand,0.701,8,True
Modern Racism & Inequality,stereotype,0.6995,6,True
Modern Racism & Inequality,raciale,0.6992,23,True
Modern Racism & Inequality,etnisch,0.69,27,True
Modern Racism & Inequality,raciaal,0.6886,7,True
Modern Racism & Inequality,afkeer,0.6793,11,True
Modern Racism & Inequality,arbeidsmarkt,0.6737,28,True
Modern Racism & Inequality,racism,0.6735,21,True
Modern Racism & Inequality,generaties,0.6639,35,True
Modern Racism & Inequality,discriminatie,0.6601,141,True
Modern Racism & Inequality,gelijkheid,0.6543,25,True
Modern Racism & Inequality,discrimineren,0.6482,9,True
Modern Racism & Inequality,vooringenomenheid,0.6384,7,True
Modern Racism & Inequality,ongelijkheid,0.6373,42,True
Modern Racism & Inequality,discriminerende,0.6362,6,True
Modern Racism & Inequality,etnische,0.6133,64,True
Modern Racism & Inequality,discriminatietoets,0.604,37,True
Modern Racism & Inequality,non-discriminatie,0.5936,13,True
Modern Racism & Inequality,ongelijke,0.5906,27,True
Modern Racism & Inequality,armoede,0.5558,19,True
