filename,chunk_num,chunk_text,topic,confidence
mariene-strategie-voor-het-nederlandse-deel-van-de-noordzee-2012-2020-deel-3.pdf,22,De uropese kaderrichtlijn Mariene Strategie (KRM) verplicht de U-lidstaten een strategie te ontwikkelen om in 2020 in het eigen zeegebied – voor Nederland het Nederlandse deel van de Noordzee - een goede milieutoestand te bereiken en/of te behouden en maatregelen te nemen die ervoor zorgen dat de daarvoor gestelde doelen worden bereikt. Bouwstenen voor die strategie zijn de al bestaande beleidskaders en de daaruit voortkomende maatregelen. Waar deze tekort schieten moeten de lidstaten aanvullende maatregelen formuleren. Verder verplicht de richtlijn tot internationale samenhang en samenwerking in de noordoost Atlantische regio en meer specifiek met de Noordzeelanden.,Everyday Racism & Modern Racial Inequality,1.0
mariene-strategie-voor-het-nederlandse-deel-van-de-noordzee-2012-2020-deel-3.pdf,33,"Binnen de kaders van IMO en GVB zet het kabinet in op verduurzaming van scheepvaart en visserij. Bij de terugdringing van vervuiling vanuit bronnen op het land sluit het kabinet aan op het bestaande milieubeleid en de uitvoering van de Kaderrichtlijn Water. 2 Gebieds- en soortenaanpak Het kabinet wil met een gebiedsgerichte aanpak de bescherming van kwetsbare ecologische soorten en gebieden waarborgen, zoals Natura 2000-gebieden en de aanvullende bescherming op het riese ront en de Centrale Oestergronden. Deze maatregelen vloeien voort uit de VHR en KRM verplichting om met de bescherming van bepaalde ecologische / habitat gebieden van het Nederlandse deel van de Noordzee de goede milieutoestand van het mariene ecosysteem dichterbij te brengen en bij te dragen aan een samenhangend en representatief netwerk van beschermde mariene gebieden.",Everyday Racism & Modern Racial Inequality,1.0
mariene-strategie-voor-het-nederlandse-deel-van-de-noordzee-2012-2020-deel-3.pdf,42,"visserijmaatregelen ligt de exclusieve competentie bij de U en heeft de uropese Commissie initiatiefrecht. Het Gemeenschappelijk Visserij Beleid (GVB) moet ertoe bijdragen dat het mariene milieu wordt beschermd, dat alle commercieel geëxploiteerde soorten duurzaam worden beheerd en dat uiterlijk in 2020 een goede milieutoestand wordt bereikt. Het nationale beleid voor de kust- en schelpdiervisserij draagt bij aan de ontwikkeling van een op ecosystemen gebaseerd beheer. Dat moet op termijn leiden tot een stabiele en duurzame basis voor de visserij, die overeenkomt met economische, sociale en werkgelegenheidsdoelen, en die een bijdrage levert aan de voedselvoorziening. Bestaande maatregelen •",Everyday Racism & Modern Racial Inequality,1.0
mariene-strategie-voor-het-nederlandse-deel-van-de-noordzee-2012-2020-deel-3.pdf,56,"Voor significante effecten op soorten en habitats geldt de procedure uit de Natuurbeschermings- wet (alternatieve oplossingen, dwingende redenen van groot openbaar belang, mitigatie en compensatie). Zo zijn bodembeschermingsmaatregelen in de Voordelta een compensatie voor de aanleg van de Tweede Maasvlakte in dit Natura 2000-gebied. Maatregelen descriptor vervuilende stoffen De inzet is gericht op het reduceren van de concentraties vervuilende stoffen in zee en op het voorkomen van verontreinigingseffecten van stoffen zoals TBT, dat wordt gebruikt om aangroei op scheepshuiden tegen te gaan. De belangrijkste bronnen van vervuilende stoffen zijn bronnen op zee, zoals zeevaart en offshore mijnbouw, en bronnen op het land, zoals industrie, transport en landbouw.",Colonial Exploitation & Economic Inequality,1.0
mariene-strategie-voor-het-nederlandse-deel-van-de-noordzee-2012-2020-deel-3.pdf,57,"U-regelgeving, afspraken in OSPAR-kader en afspraken in IMO-kader hebben ertoe geleid dat de concentraties vervuilende stoffen in het mariene milieu vanaf de jaren zeventig van de vorige eeuw enorm zijn teruggebracht. en groot deel van de maatregelen is opgenomen in de maatregelenprogramma’s voor de stroomgebieden op grond van de Kaderrichtlijn Water (KRW). Deze maatregelen dragen Mariene Strategie voor het Nederlandse deel van de Noordzee 2012-2020 (deel 3) | 11 ook bij aan terugdringing van de vervuiling van de Noordzee. De aanwezigheid van geneesmiddelen in het oppervlaktewater, als mogelijk groeiende bedreiging voor het zeemilieu, vraagt de komende jaren aandacht. Bestaande maatregelen Lozingen van offshore installaties op het Nederlandse deel van de Noordzee zijn gereguleerd onder de Mijnbouwwet, onder meer via voorwaarden in de mijnbouw- vergunningen.",Reparations & Justice,1.0
mariene-strategie-voor-het-nederlandse-deel-van-de-noordzee-2012-2020-deel-3.pdf,60,"De U-Richtlijn industriële emissies is geïmplementeerd via de Wet algemene bepalingen omgevingsrecht, Wet milieubeheer (Activiteitenbesluit) en Waterwet. • De implementatie van Seveso III in het Besluit risico ’s zware ongevallen beperkt de gevolgen van zware ongevallen voor mens en milieu. •",Everyday Racism & Modern Racial Inequality,1.0
mariene-strategie-voor-het-nederlandse-deel-van-de-noordzee-2012-2020-deel-3.pdf,61,"De U-Richtlijn voor duurzaam gebruik van pesticiden is in Nederland uitgewerkt in het Actieplan duurzame gewasbescherming. Het nationale beleid dat uit de richtlijn voortvloeit is vastgelegd in de 2e Nota duurzame gewasbescherming. • De belangrijkste afspraken voor de voorbereiding, samenwerking en coördinatie bij rampenbestrijding en incidentenaanpak op zee zijn vastgelegd in het Rampenplan voor de Noordzee (als onderdeel van het Incident Bestrijdings Plan), de Samenwerkings- regeling Bestrijding Kustverontreiniging en het Samenwerkingsplan Besmeurde Vogels. Ook vindt er internationale samenwerking plaats via de Overeenkomst van Bonn over samenwerking bij bestrijding van verontreiniging van de Noordzee.",Everyday Racism & Modern Racial Inequality,1.0
mariene-strategie-voor-het-nederlandse-deel-van-de-noordzee-2012-2020-deel-3.pdf,79,• De OSPAR Regionale Zeeconventie heeft op 28 juni 2014 het Regional Action Plan Marine Litter vastgesteld. Nederland trekt de ontwikkeling van de volgende OSPAR- maatregelen: regionale coördinatie implementeren richtlijn havenontvangst­ voorzieningen (HOV) en verbeteren implementatie ISO-standaarden; verminderen impact van pluis;,Everyday Racism & Modern Racial Inequality,1.0
lp-v-j-0000007648.pdf,6,"de versterking van de positie van slachtoffers, het opsporen en aanpakken van daders en het voorkomen van intergenerationele overdracht van geweld. De bestaande wettelijke, beleidsmatige en uitvoerende maatregelen voor de aanpak van huiselijk geweld in Nederland behoeven, buiten de drie onderwerpen die worden geregeld in de Uitvoeringswet, geen verdere aanvulling. In zoverre is de veronderstelling van de leden van de VVD-fractie dat het Nederlandse beleid en de regelgeving voldoen aan de uropese maatstaven correct. De onderwerpen die aanvullend worden geregeld in het wetsvoorstel, te weten een uitbreiding van de verjaringsregeling, een introductie van een nieuwe strafbaarstelling in verband met de voorbereiding van huwelijksdwang en een aanvulling van de Uitleveringswet, leveren een nuttige bijdrage aan de aanpak van huiselijk geweld. Hierdoor wordt de positie van slachtoffers versterkt en worden de mogelijkheden voor opsporing en vervolging van daders verruimd.",Everyday Racism & Modern Racial Inequality,1.0
lp-v-j-0000007648.pdf,8,"Het strafrecht is, waar het gaat om de aanpak van huwelijksdwang, een belangrijk en noodzakelijk sluitstuk, maar wordt als ultimum remedium toegepast. Bij de aanpak van huwelijksdwang wordt eerst en vooral ingezet op maatregelen om huwelijksdwang te voorkomen, zoals maatregelen op het terrein van voorlichting, bewustwording, mentaliteitsverandering, deskundigheidsbevordering en vroegsignalering. Bij brief van 5 januari 2015 (Kamerstukken II 2014/15, 32 175, nr. 54) heeft de Minister van Sociale Zaken en Werkgelegenheid een Actieplan zelfbeschikking 2015-2017 aan uw Kamer gestuurd. Dit actieplan moet ertoe leiden dat mensen zich bewust zijn dat ze het recht hebben om zelf keuzes te maken over hun eigen leven. De opsporing en vervolging van zaken van geweld in huiselijke kring, waaronder huwelijksdwang, kunnen desalniettemin rekenen op de continue aandacht van politie en OM.",Everyday Racism & Modern Racial Inequality,1.0
