filename,chunk_id,sentence_count,raw_text,text_for_scoring,cos_Colonialism,cos_Historical slavery,cos_Modern racism& inequality,max_score,primary_topic,score_margin
C:\Users\Home\policy-analysis\Slavery_text\Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen.10.txt,4f18bf34:00000,8,"— 10 —
Rose Mary Allen (1950) is cultureel antropoloog. Ze 
is buitengewoon hoogleraar Cultuur, gemeenschap 
en geschiedenis aan de Universiteit van Curaçao. Esther Captain (1969) is historicus en als senior  
onderzoeker werkzaam bij het Koninklijk Instituut 
voor Taal-, Land- en Volkenkunde (kitlv) in Leiden. Haar expertise is laatkoloniaal Indonesië en de 
­Indonesische revolutie, postkoloniaal Nederland 
in relatie tot de Nederlands-Caribische eilanden, 
­Indonesië en Suriname. Matthias van Rossum (1984) is historicus en als senior 
onderzoeker verbonden aan het Internationaal 
Instituut voor Sociale Geschiedenis (iisg) in 
Amsterdam. Hij is gespecialiseerd in de geschiedenis 
van slavernij in Azië en de verbindingen met het 
Atlantische slavernijverleden. Urwin Vyent (1958) is directeur van het Nationaal 
­Instituut Nederlands slavernijverleden en erfenis 
­(NiNsee). Naast zijn werk voor NiNsee houdt hij zich 
bezig met de ontwikkeling van een slavernijmuseum 
in Amsterdam.",rose mary allen cultureel antropoloog buitengewoon hoogleraar cultuur gemeenschap geschiedenis universiteit curaçao esther captain historicus senior onderzoeker werkzaam koninklijk instituut taal land volkenkunde kitlv leiden expertise laatkoloniaal indonesië indonesische revolutie postkoloniaal nederland relatie nederlands caribische eilanden indonesië suriname matthias rossum historicus senior onderzoeker verbonden internationaal instituut sociale geschiedenis iisg amsterdam gespecialiseerd geschiedenis slavernij azië verbindingen atlantische slavernijverleden urwin vyent directeur nationaal instituut nederlands slavernijverleden erfenis ninsee werk ninsee houdt bezig ontwikkeling slavernijmuseum amsterdam,0.43442747319025554,0.341506513844553,0.31103461237891056,0.43442747319025554,Colonialism,0.09292095934570255
C:\Users\Home\policy-analysis\Slavery_text\Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen.103.txt,e001db73:00001,6,"Het geld is bij jou. Maar 
waar komt het geld in eerste instantie vandaan?’15 
Bewustwording en verandering van dit economische systeem wordt als 
een manier gezien om de excuses in de praktijk te brengen, anders is het 
slechts een loos gebaar. Daarbij is het belangrijk dat de excuses worden 
gemaakt door de partijen, bijvoorbeeld organisaties en bedrijven, die 
toen de grootste winsten hebben gehaald. Het gaat niet om individuele 
burgers: verantwoordelijkheid moet gedragen worden door degenen die 
structureel verantwoordelijk waren voor slavernij. Herstelbetalingen 
­worden niet gezien als geld dat van de ene naar de andere partij gaat, 
maar als een manier om de economie in Suriname en op de Antillen op te 
bouwen, die door de Nederlandse kolonisator slecht was achtergelaten: 
een vorm van structureel rechtsherstel. Belangrijk is dan ook dat Surina­
me en de Antillen zelf bepalen waar het geld precies aan moet worden 
besteed, en niet de voormalige kolonisator.",geld jou waar komt geld eerste instantie vandaan bewustwording verandering economische systeem manier gezien excuses praktijk brengen anders slechts loos gebaar daarbij belangrijk excuses gemaakt partijen bijvoorbeeld organisaties bedrijven grootste winsten gehaald gaat individuele burgers verantwoordelijkheid gedragen degenen structureel verantwoordelijk slavernij herstelbetalingen gezien geld ene partij gaat manier economie suriname antillen bouwen nederlandse kolonisator slecht achtergelaten vorm structureel rechtsherstel belangrijk surina antillen bepalen waar geld precies besteed voormalige kolonisator,0.17507719721211623,0.36999266914198503,0.1768340509097049,0.36999266914198503,Historical slavery,0.19315861823228014
C:\Users\Home\policy-analysis\Slavery_text\Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen.112.txt,ef3b9806:00000,7,"— 112 —
— STAAT EN SLAVERNIJ —
eersten die daarmee kwamen – de Denen waren hen in 1803 voorgegaan. De Engelsen konden die maatregel ook voor de Nederlandse koloniën 
afdwingen omdat zij die in handen hadden tijdens de napoleontische 
bezetting van Nederland. Na teruggave van de koloniën aan Nederland 
in 1815 bleef het verbod van kracht. Omdat slavernij zelf nog was toegestaan, bleef de vraag naar slaafge­
maakte Afrikanen bestaan, bijvoorbeeld op plantages in Suriname en op 
de Caribische eilanden Cuba, Puerto Rico, Santo Domingo, Martinique en 
Guadeloupe. Met het Deense eiland Sint-Thomas als centrum werkten de 
Nederlandse eilanden Sint-Eustatius, Saba en Sint-Maarten actief mee aan 
deze handel. De archeoloog en historicus Ryan Espersen toonde aan dat 
dit onder andere gebeurde door het verschaffen van de benodigde papie­
ren, waarmee de illegale handel in slaafgemaakten in feite werd gelegiti­
meerd. In Suriname, waar jaarlijks rond de duizend slaafgemaakten het 
land werden binnengesmokkeld, waren het straffen van de handelaren 
Francis Meynell schilderde uit slavernij bevrijde mensen op het schip Albanez,  
nadat het in 1848 in beslag was genomen maar de mensen nog niet  
aan land waren gebracht.",staat slavernij eersten daarmee kwamen denen hen voorgegaan engelsen konden maatregel nederlandse koloniën afdwingen handen hadden napoleontische bezetting nederland teruggave koloniën nederland bleef verbod kracht slavernij toegestaan bleef slaafge maakte afrikanen bestaan bijvoorbeeld plantages suriname caribische eilanden cuba puerto rico santo domingo martinique guadeloupe deense eiland sint thomas centrum werkten nederlandse eilanden sint eustatius saba sint maarten actief mee handel archeoloog historicus ryan espersen toonde gebeurde verschaffen benodigde papie ren waarmee illegale handel slaafgemaakten feite gelegiti meerd suriname waar jaarlijks rond duizend slaafgemaakten land werden binnengesmokkeld straffen handelaren francis meynell schilderde slavernij bevrijde mensen schip albanez nadat beslag genomen mensen land gebracht,0.3130344307663423,0.4536411798942392,0.26696056705605353,0.4536411798942392,Historical slavery,0.1406067491278969
C:\Users\Home\policy-analysis\Slavery_text\Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen.113.txt,0ac769e6:00000,10,"— 113 —
— SLAVERNIJ, AFSCHAFFINGEN EN DOORWERKINGEN —
enerzijds en de verplichte registratie van slaafgemaakten vanaf 1826 
anderzijds effectieve maatregelen om deze praktijk te bestrijden.1
In die Surinaamse plantage-economie, waar slaafgemaakten meer dan 
negentig procent van de bevolking uitmaakten, tonen de demografische 
cijfers niet alleen het gevolg van de slavernij voor de levens van mensen 
maar ook het falen van dat systeem na het stoppen van de handel; nooit 
zou het aantal geboortes de sterfte overstijgen. Vooral het leven op de 
­suikerplantages eiste zijn tol. Toen de invoer van nieuwe slaafgemaakten 
stopte, voelden de planters direct de gevolgen. De slavernij op de eilanden werd daarentegen niet gekenmerkt door een 
sterfteoverschot. Een gezonder klimaat en het ontbreken van een groot­
schalige plantage-economie zoals in Suriname zouden redenen daarvoor 
kunnen zijn. Daarom werd lange tijd aangenomen dat slavernij op 
de eilanden minder zwaar was. Recent archeologisch (bot)onderzoek en 
onderzoek naar het gebruik van orale tradities op de Caribische eilanden 
door onder andere archeoloog Felicia Fricke doen dat beeld kantelen. Beide tonen nieuwe perspectieven op de levensomstandigheden van slaaf­
gemaakten, hun dieet, fysieke gesteldheid, eventuele letsels als gevolg van 
straffen en daarmee ook op verzet en religie. De verschillen tussen de 
eilanden worden zichtbaar. Mogelijk biedt dit onderzoek in de toekomst 
meer informatie over de levensomstandigheden in de laatste fase van de 
slavernij, na de afschaffing van de handel.2 
De afschaffing van de (illegale) slavenhandel vormde de aanzet tot her­
vormingen door het koloniale bestuur.",slavernij afschaffingen doorwerkingen enerzijds verplichte registratie slaafgemaakten vanaf anderzijds effectieve maatregelen praktijk bestrijden surinaamse plantage economie waar slaafgemaakten negentig procent bevolking uitmaakten tonen demografische cijfers alleen gevolg slavernij levens mensen falen systeem stoppen handel nooit geboortes sterfte overstijgen vooral leven suikerplantages eiste tol invoer nieuwe slaafgemaakten stopte voelden planters direct gevolgen slavernij eilanden daarentegen gekenmerkt sterfteoverschot gezonder klimaat ontbreken groot schalige plantage economie suriname zouden redenen daarvoor daarom lange tijd aangenomen slavernij eilanden zwaar recent archeologisch bot orale tradities caribische eilanden archeoloog felicia fricke beeld kantelen beide tonen nieuwe perspectieven levensomstandigheden slaaf gemaakten dieet fysieke gesteldheid eventuele letsels gevolg straffen daarmee verzet religie verschillen eilanden zichtbaar mogelijk biedt toekomst informatie levensomstandigheden laatste fase slavernij afschaffing handel afschaffing illegale slavenhandel vormde aanzet vormingen koloniale bestuur,0.385608400267573,0.6113294827902587,0.28697739961431445,0.6113294827902587,Historical slavery,0.2257210825226857
C:\Users\Home\policy-analysis\Slavery_text\Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen.113.txt,0ac769e6:00001,5,"Aan voeding en levensomstandig­
heden werden minimumeisen gesteld, het ongelimiteerde straffen werd 
aan banden gelegd, verkoop of verplaatsing van slaafgemaakten werd 
bemoeilijkt en kerstening aangemoedigd. Op Curaçao was bekering tot 
het katholicisme overigens al in de achttiende eeuw begonnen, in tegen­
stelling tot Suriname, waar de protestante Herrnhutters al enkele decen­
nia voor de afschaffing van de slavernij op de plantages werden toegelaten. Het zou het voortbestaan van in slavernij gevormde Afro-Amerikaanse 
religies, talen en culturen in Suriname en op de eilanden niet bedreigen. Deze maatregelen werden in Suriname genomen in de hoop de bevol­
kingsafname af te remmen. In zowel Suriname als op Curaçao hadden ze 
tot doel om opstanden te voorkomen en uiteindelijk, na de afschaffing van 
de slavernij, een op Europese waarden gebaseerde cultuur en economie 
met bijbehorend arbeidsethos te bewerkstelligen.",voeding levensomstandig heden werden minimumeisen gesteld ongelimiteerde straffen banden gelegd verkoop verplaatsing slaafgemaakten bemoeilijkt kerstening aangemoedigd curaçao bekering katholicisme overigens achttiende eeuw begonnen stelling suriname waar protestante herrnhutters enkele decen nia afschaffing slavernij plantages werden toegelaten voortbestaan slavernij gevormde afro amerikaanse religies talen culturen suriname eilanden bedreigen maatregelen werden suriname genomen hoop bevol kingsafname af remmen zowel suriname curaçao hadden doel opstanden voorkomen uiteindelijk afschaffing slavernij europese waarden gebaseerde cultuur economie bijbehorend arbeidsethos bewerkstelligen,0.28164976005738995,0.39600418358987893,0.3449202844236858,0.39600418358987893,Historical slavery,0.05108389916619316
C:\Users\Home\policy-analysis\Slavery_text\Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen.114.txt,ce4de69e:00000,9,"— 114 —
— STAAT EN SLAVERNIJ —
◼◼ ◼◼  De afschaffing van de slavernij
In Nederlands-Indië kwam op 1 januari 1860 formeel een einde aan de 
­slavernij. Recent onderzoek heeft aan het licht gebracht hoe omvangrijk 
en diepgeworteld de slavernij in Nederlands-Indië was. De Verenigde 
Oost-Indische Compagnie (voc) bezat en verhandelde daar al slaafge­
maakten sinds het begin van de zeventiende eeuw. Dat gebeurde op zeer 
grote schaal. De slaafgemaakten kwamen uit Oost-Afrika en verschillende 
landen in Azië. Ze werden ingezet in huishoudens, mijnen, werkplaatsen 
en bij het bouwen van militaire forten.3
Na de afschaffing van de slavernij ontving een klein deel van de eigena­
ren op Java een schadeloosstelling voor hun verloren menselijk ‘bezit’. Buiten Java was dat minder het geval, maar kwam er ondanks het verbod 
ook niet direct een einde aan de slavernij; die werd oogluikend toegestaan, 
onder andere in de vorm van ‘schuldslaven’ (het afbetalen van een schuld 
door middel van arbeid). Naast slavernij kwamen in Nederlands-Indië 
andere vormen van dwang voor die daar na de afschaffing van de slavernij 
bleven bestaan. Ten behoeve van het in 1830 ingevoerde cultuurstelsel 
moesten ­boeren een deel van hun grond gebruiken voor exportproducten,",staat slavernij afschaffing slavernij nederlands indië kwam januari formeel einde slavernij recent licht gebracht omvangrijk diepgeworteld slavernij nederlands indië verenigde oost indische compagnie voc bezat verhandelde slaafge maakten begin zeventiende eeuw gebeurde zeer grote schaal slaafgemaakten kwamen oost afrika verschillende landen azië werden ingezet huishoudens mijnen werkplaatsen bouwen militaire forten afschaffing slavernij ontving klein eigena ren java schadeloosstelling verloren menselijk bezit java geval kwam ondanks verbod direct einde slavernij oogluikend toegestaan vorm schuldslaven afbetalen schuld middel arbeid slavernij kwamen nederlands indië vormen dwang afschaffing slavernij bleven bestaan ten behoeve ingevoerde cultuurstelsel moesten boeren grond gebruiken exportproducten,0.3480232686174528,0.4030993296867602,0.27023146614543847,0.4030993296867602,Historical slavery,0.0550760610693074
C:\Users\Home\policy-analysis\Slavery_text\Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen.115.txt,faf44a8a:00000,10,"— 115 —
— SLAVERNIJ, AFSCHAFFINGEN EN DOORWERKINGEN —
die zij als pacht aan het gouvernement afstonden (zie hoofdstuk 12 van 
Jan Breman). Het koloniale juridische systeem maakte het mogelijk om tot dwang­
arbeid veroordeelde gevangenen in te zetten bij militaire expedities van 
het Koninklijk Nederlands-Indisch Leger (knil), al gebeurde dat aanvan­
kelijk formeel alleen op vrijwillige basis. Vanaf 1873 mochten dwangarbei­
ders die tot meer dan drie maanden dwangarbeid waren veroordeeld ook 
buiten de eigen regio worden ingezet. Deze dwangarbeiders werden deni­
grerend betiteld als ‘kettingberen’ omdat zij soms aan elkaar geketend 
werden. De sterfte onder de dwangarbeiders bij het knil was hoog. Precie­
ze cijfers zijn niet bekend, maar tijdens de Atjehoorlog (1873-1914) zouden 
zo’n 25 000 van hen zijn omgekomen. Verder werden ze ingezet bij de aan­
leg van wegens en havens, in de mijn- en de landbouw. In de twintigste 
eeuw nam de inzet van dwangarbeiders bij het knil af omdat er minder 
militaire expedities werden georganiseerd, niet omdat er een verbod op 
deze vorm van dwangarbeid kwam in Nederlands-Indië.4 Het cultuurstel­
sel en de inzet van dwangarbeiders bij het knil laten zien dat de opheffing 
van slavernij de continuering van dwangarbeid niet belemmerde. Schrijver en tekenaar W.E.H. Winkels 
dreef in 1863 de spot met de afschaffing 
van de slavernij.",slavernij afschaffingen doorwerkingen pacht gouvernement afstonden zie hoofdstuk jan breman koloniale juridische systeem maakte mogelijk dwang arbeid veroordeelde gevangenen zetten militaire expedities koninklijk nederlands indisch leger knil gebeurde aanvan kelijk formeel alleen vrijwillige basis vanaf mochten dwangarbei ders drie maanden dwangarbeid veroordeeld eigen regio ingezet dwangarbeiders werden deni grerend betiteld kettingberen soms elkaar geketend werden sterfte dwangarbeiders knil hoog precie cijfers bekend atjehoorlog zouden n hen omgekomen verder werden ingezet leg wegens havens landbouw twintigste eeuw nam inzet dwangarbeiders knil af militaire expedities werden georganiseerd verbod vorm dwangarbeid kwam nederlands indië cultuurstel sel inzet dwangarbeiders knil laten zien opheffing slavernij continuering dwangarbeid belemmerde schrijver tekenaar w e h winkels dreef spot afschaffing slavernij,0.4412240540560393,0.5656020297527998,0.30839829819669495,0.5656020297527998,Historical slavery,0.12437797569676051
C:\Users\Home\policy-analysis\Slavery_text\Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen.116.txt,5a86ac64:00000,10,"— 116 —
— STAAT EN SLAVERNIJ —
Ruim drie jaar later dan in Nederlands-Indië werd de slavernij in ­Suriname 
en op de Nederlandse Antillen afgeschaft. Omdat die gebieden werden 
omringd door Britse en Franse koloniën, die in respectievelijk 1834 en 1848 
de slavernij al hadden afgeschaft, was het einde van de ­slavernij in Surina­
me en op de Antillen op den duur onvermijdelijk. Slaafgemaakten ont­
snapten, zij het niet op grote schaal, vanuit het Surinaamse grensgebied 
Nickerie naar Brits Guyana en vanaf Sint-Maarten en Sint-­Eustatius naar 
de Britse eilanden Saint Kitts en Anguilla. De afschaffing van de Franse sla­
vernij leidde op Sint-Maarten tot vluchtpogingen naar het Franse deel van 
het eiland en tot verzet onder de achterblijvers in het Nederlandse deel die 
weigerden nog langer als slaafgemaakten te werken. Het resultaat was dat 
de slavernij op het eiland de facto werd opgeheven. Slavenwetten werden 
opgeheven en er werd loon betaald. Toch duurde het nog tot 1 juli 1863 
voordat de slavernij in Suriname en op de Nederlandse Caribische eilanden 
daadwerkelijk werd afgeschaft – na een lang proces van lobbyen en dralen. In een serie spotprenten liet de schrijver, tekenaar en voormalig 
plantage­opzichter W.E.H. Winkels zien dat de afschaffing van de slavernij 
gedoemd was te mislukken, omdat de voormalige slaafgemaakten niet 
meer voor de planters zouden werken waardoor de economie in het slop 
zou raken. De planters eisten met succes compensatie voor het verlies aan mense­
lijk ‘bezit’.",staat slavernij ruim drie later nederlands indië slavernij suriname nederlandse antillen afgeschaft gebieden werden omringd britse franse koloniën respectievelijk slavernij hadden afgeschaft einde slavernij surina antillen den duur onvermijdelijk slaafgemaakten ont snapten grote schaal vanuit surinaamse grensgebied nickerie brits guyana vanaf sint maarten sint eustatius britse eilanden saint kitts anguilla afschaffing franse sla vernij leidde sint maarten vluchtpogingen franse eiland verzet achterblijvers nederlandse weigerden langer slaafgemaakten werken slavernij eiland facto opgeheven slavenwetten werden opgeheven loon betaald duurde juli voordat slavernij suriname nederlandse caribische eilanden daadwerkelijk afgeschaft lang proces lobbyen dralen serie spotprenten liet schrijver tekenaar voormalig plantage opzichter w e h winkels zien afschaffing slavernij gedoemd mislukken voormalige slaafgemaakten planters zouden werken waardoor economie slop raken planters eisten succes compensatie verlies mense lijk bezit,0.33653709781034846,0.4036205732181759,0.27400935010674127,0.4036205732181759,Historical slavery,0.06708347540782744
C:\Users\Home\policy-analysis\Slavery_text\Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen.116.txt,5a86ac64:00001,10,"In Suriname kregen ze een schadeloosstelling van driehonderd 
gulden per vrijgemaakte. Op Curaçao, Bonaire, Aruba, Sint-Eustatius en 
Saba was dat tweehonderd gulden. Omdat op Sint-Maarten de slavernij 
in praktijk al in 1848 was opgeheven, kregen de eigenaren daar honderd 
gulden per vrijgemaakte uitbetaald. De vrijgemaakten zelf kregen niets. 5 
In Suriname volgde er na de afschaffing van de slavernij een tienjarige 
overgangsperiode, het zogenaamde staatstoezicht. De voormalige slaaf­
gemaakten werden tot nog tien jaar plantagearbeid verplicht. Zij konden 
jaarlijks contracten sluiten op plantages naar keuze. Veranderen van werk­
gever was een van de weinige manieren om vrijheid van arbeid te ervaren 
en de planters te laten voelen dat nu ook zij afhankelijk waren van hun 
bereidheid om te werken. Maar het loon dat ze voor hun werk kregen 
was nauwelijks voldoende om een gezin te onderhouden, terwijl ouderen 
zonder contract vaak in armoede op de plantages leefden.6
Op de Nederlandse eilanden in de Cariben was geen staatstoezicht. De eilanden waren handelskoloniën, geen economieën met massale inzet 
van slaafgemaakten; op de plantages werd vooral voor de lokale markten",suriname kregen schadeloosstelling driehonderd gulden per vrijgemaakte curaçao bonaire aruba sint eustatius saba tweehonderd gulden sint maarten slavernij praktijk opgeheven kregen eigenaren honderd gulden per vrijgemaakte uitbetaald vrijgemaakten kregen suriname volgde afschaffing slavernij tienjarige overgangsperiode zogenaamde staatstoezicht voormalige slaaf gemaakten werden tien plantagearbeid verplicht konden jaarlijks contracten sluiten plantages keuze veranderen werk gever weinige manieren vrijheid arbeid ervaren planters laten voelen afhankelijk bereidheid werken loon werk kregen nauwelijks voldoende gezin onderhouden terwijl ouderen contract vaak armoede plantages leefden nederlandse eilanden cariben staatstoezicht eilanden handelskoloniën economieën massale inzet slaafgemaakten plantages vooral lokale markten,0.27662894157000795,0.44170048438896853,0.23248087425832742,0.44170048438896853,Historical slavery,0.16507154281896058
C:\Users\Home\policy-analysis\Slavery_text\Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen.117.txt,32ff4658:00000,10,"— 117 —
— SLAVERNIJ, AFSCHAFFINGEN EN DOORWERKINGEN —
geproduceerd. Een uitzondering was Bonaire, waar slaafgemaakten in 
de zoutpannen werkten. Vrije arbeid betekende nog geen gelijke kansen op de eilanden, waar 
kleur, klasse en religie al voor 1 juli 1863 de status van zowel de vrije als de 
onvrije eilandbewoners bepaalden. Er heerste bittere armoede als gevolg 
van schaarste aan werk en land. Vooral de nazaten van slaafgemaakten 
kampten daarmee. Gebrek aan beschikbare vruchtbare grond en werk 
maakte de vrijgemaakten soms afhankelijk van hun voormalige eigenaren. Op Curaçao, bijvoorbeeld, bleven ze om die reden op het land van hun voor­
malige eigenaren wonen. In ruil voor grond werkten zij soms nog voor de 
landeigenaar (het paga tera-systeem). Om aan de armoede op de eilanden te 
ontkomen, emigreerden vooral mannen in groten getale (zie hoofdstuk 15 
van Charles do Rego). Een keerpunt bracht de opkomst van de olie-industrie door de Konink­
lijke Nederlandsche Petroleum Maatschappij Shell, eerst op Curaçao en ver­
volgens op Aruba, in de jaren twintig.",slavernij afschaffingen doorwerkingen geproduceerd uitzondering bonaire waar slaafgemaakten zoutpannen werkten vrije arbeid betekende gelijke kansen eilanden waar kleur klasse religie juli status zowel vrije onvrije eilandbewoners bepaalden heerste bittere armoede gevolg schaarste werk land vooral nazaten slaafgemaakten kampten daarmee gebrek beschikbare vruchtbare grond werk maakte vrijgemaakten soms afhankelijk voormalige eigenaren curaçao bijvoorbeeld bleven reden land malige eigenaren wonen ruil grond werkten soms landeigenaar paga tera systeem armoede eilanden ontkomen emigreerden vooral mannen groten getale zie hoofdstuk charles rego keerpunt bracht opkomst olie industrie konink lijke nederlandsche petroleum maatschappij shell eerst curaçao ver volgens aruba twintig,0.3659742290989019,0.5667466271272231,0.34173382746850717,0.5667466271272231,Historical slavery,0.2007723980283212
